"MouseGeneName","Accession"
"Fn1","A0A087WR50_MOUSE"
"Tgfb2","A0A0A6YXU9_MOUSE (+1)"
"Manba","A0A0R4J092_MOUSE"
"Lrp1","A0A0R4J0I9_MOUSE (+1)"
"Pdia4","A0A0R4J0Z1_MOUSE (+1)"
"Rnh1","A0A1B0GSG5_MOUSE (+1)"
"Sparc","A0A1L1SSH9_MOUSE (+2)"
"Tfpi","A2ARA0_MOUSE (+1)"
"Hbb-bs","A8DUK4_MOUSE"
"Rnaset2b","RNT2B_MOUSE"
"Col6a3","E9PWQ3_MOUSE"
"Psap","E9PZ00_MOUSE (+1)"
"Ahnak","E9Q616_MOUSE"
"Lamb1","E9QN70_MOUSE (+1)"
"Ide","F6RPJ9_MOUSE"
"Lamc1","F8VQJ3_MOUSE"
"Igfbp7","F8WH23_MOUSE (+1)"
"Serpinb6a","F8WIV2_MOUSE"
"Ctsa","G3X8T3_MOUSE (+1)"
"Serpine1","G5E899_MOUSE"
"Rbp4","H7BWY6_MOUSE (+1)"
"Tnfrsf11b","TR11B_MOUSE"
"Prkcsh","sp|O08795-2|GLU2B_MOUSE (+1)"
"Serpinb9","O08797_MOUSE"
"Serpinb6b","O08804_MOUSE"
"Serpinb9e","O08806_MOUSE"
"Prdx4","PRDX4_MOUSE"
"Gsto1","GSTO1_MOUSE"
"Man2b1","MA2B1_MOUSE"
"Ddt","DOPD_MOUSE"
"Tfpi2","TFPI2_MOUSE"
"Angpt2","ANGP2_MOUSE"
"Ifnar2","sp|O35664-2|INAR2_MOUSE (+2)"
"Chil3","CHIL3_MOUSE"
"Calu","CALU_MOUSE"
"Dnase1l3","DNSL3_MOUSE"
"Ctss","CATS_MOUSE (+1)"
"Sfn","1433S_MOUSE"
"Col5a1","CO5A1_MOUSE"
"Nid2","NID2_MOUSE"
"Naglu","O88325_MOUSE"
"Ppt1","PPT1_MOUSE"
"Hnrnpa2b1","sp|O88569-2|ROA2_MOUSE (+2)"
"Sema3f","sp|O88632-2|SEM3F_MOUSE (+1)"
"Creg1","CREG1_MOUSE"
"Tcn2","TCO2_MOUSE"
"Lgmn","LGMN_MOUSE"
"Tpp1","TPP1_MOUSE"
"Itm2b","ITM2B_MOUSE"
"C3","sp|P01027|CO3_MOUSE"
"C4b","CO4B_MOUSE"
"B2m","B2MG_MOUSE"
"H2-D1","HA11_MOUSE"
"H2-K1","HA1B_MOUSE"
"Col4a1","CO4A1_MOUSE"
"Afp","FETA_MOUSE"
"Ada","ADA_MOUSE"
"Aldoa","ALDOA_MOUSE"
"Prkaca","sp|P05132-2|KAPCA_MOUSE (+1)"
"Ctsl","CATL1_MOUSE"
"Plau","UROK_MOUSE"
"Csf1","sp|P07141|CSF1_MOUSE"
"Ttr","TTHY_MOUSE"
"Anxa2","ANXA2_MOUSE"
"Alb","ALBU_MOUSE"
"Hsp90aa1","HS90A_MOUSE"
"Ltf","TRFL_MOUSE"
"Hsp90b1","ENPL_MOUSE"
"Col3a1","CO3A1_MOUSE"
"Col4a2","CO4A2_MOUSE"
"S100a10","S10AA_MOUSE"
"Apoe","APOE_MOUSE"
"Sod1","SODC_MOUSE"
"Lyz2","LYZ2_MOUSE"
"Itgb1","sp|P09055-2|ITB1_MOUSE"
"Pgk1","PGK1_MOUSE"
"Fth1","FRIH_MOUSE"
"Igf2","sp|P09535-2|IGF2_MOUSE (+1)"
"Anxa1","ANXA1_MOUSE"
"Ccl2","CCL2_MOUSE"
"Nid1","NID1_MOUSE"
"Alad","HEM2_MOUSE"
"Ctsb","CATB_MOUSE"
"Gstm1","GSTM1_MOUSE"
"Col1a1","sp|P11087-2|CO1A1_MOUSE (+1)"
"Lpl","LIPL_MOUSE"
"Fabp3","FABPH_MOUSE"
"Lamp1","LAMP1_MOUSE"
"Hsp90ab1","HS90B_MOUSE"
"Timp1","TIMP1_MOUSE"
"Gusb","BGLR_MOUSE"
"Gsn","sp|P13020-2|GELS_MOUSE"
"Srgn","SRGN_MOUSE"
"Rpsa","RSSA_MOUSE"
"Calr","CALR_MOUSE"
"B4galt1","sp|P15535-2|B4GT1_MOUSE (+1)"
"Gstm2","GSTM2_MOUSE"
"Lgals1","LEG1_MOUSE"
"Lgals3","LEG3_MOUSE"
"Lamp2","sp|P17047-2|LAMP2_MOUSE (+2)"
"Ppia","PPIA_MOUSE"
"Ctsd","CATD_MOUSE"
"Cyr61","CYR61_MOUSE"
"Cfl1","COF1_MOUSE"
"Lama1","F8VQ40_MOUSE"
"Serpinh1","SERPH_MOUSE"
"Hspa5","GRP78_MOUSE"
"Hexb","HEXB_MOUSE"
"Plg","PLMN_MOUSE"
"Cst3","CYTC_MOUSE"
"Mfge8","sp|P21956-2|MFGM_MOUSE (+1)"
"Tgm2","TGM2_MOUSE"
"Glb1","BGAL_MOUSE"
"Cat","CATA_MOUSE"
"Man2a1","MA2A1_MOUSE"
"Plaa","PLAP_MOUSE"
"Pdia3","PDIA3_MOUSE"
"Il1r2","IL1R2_MOUSE"
"Lox","LYOX_MOUSE"
"Bgn","PGS1_MOUSE"
"Dcn","PGS2_MOUSE"
"Grn","GRN_MOUSE"
"Ctgf","CTGF_MOUSE"
"Hexa","HEXA_MOUSE"
"Aimp1","AIMP1_MOUSE"
"S100a9","S10A9_MOUSE"
"Dbi","ACBP_MOUSE"
"Serpinc1","ANT3_MOUSE"
"Mmp2","sp|P33434|MMP2_MOUSE"
"Mif","MIF_MOUSE"
"Mmp12","MMP12_MOUSE (+1)"
"Fbln2","sp|P37889-2|FBLN2_MOUSE (+1)"
"Timp3","TIMP3_MOUSE"
"Cap1","CAP1_MOUSE"
"Lifr","sp|P42703-2|LIFR_MOUSE"
"Gpx3","GPX3_MOUSE"
"Igfbp2","IBP2_MOUSE"
"Igfbp4","IBP4_MOUSE"
"Igfbp6","IBP6_MOUSE"
"Anxa5","ANXA5_MOUSE"
"S100a11","S10AB_MOUSE"
"Hdgf","HDGF_MOUSE"
"Lum","LUM_MOUSE"
"Pkm","sp|P52480|KPYM_MOUSE"
"Pkm","sp|P52480-2|KPYM_MOUSE"
"Pltp","PLTP_MOUSE"
"Ctsk","CATK_MOUSE"
"Loxl2","sp|P58022|LOXL2_MOUSE"
"Ybx1","YBOX1_MOUSE"
"Pfn1","PROF1_MOUSE"
"Hspa8","HSP7C_MOUSE"
"Tpt1","TCTP_MOUSE"
"Hspd1","sp|P63038|CH60_MOUSE"
"Sema3e","SEM3E_MOUSE"
"Pebp1","PEBP1_MOUSE"
"Slc9a3r1","NHRF1_MOUSE"
"Nucb2","NUCB2_MOUSE"
"Tgfbi","BGH3_MOUSE"
"Serping1","IC1_MOUSE"
"Serpinf1","PEDF_MOUSE"
"Anpep","AMPN_MOUSE"
"Bmp1","BMP1_MOUSE"
"Masp1","sp|P98064-2|MASP1_MOUSE"
"C1qa","C1QA_MOUSE"
"Cpe","CBPE_MOUSE"
"Xdh","XDH_MOUSE"
"Apoa1","APOA1_MOUSE"
"Col1a2","CO1A2_MOUSE"
"C1qc","C1QC_MOUSE"
"Col6a2","CO6A2_MOUSE"
"Nucb1","NUCB1_MOUSE"
"Thbs2","TSP2_MOUSE"
"Ccl7","CCL7_MOUSE"
"Ckb","KCRB_MOUSE"
"Inhba","INHBA_MOUSE"
"Fabp5","FABP5_MOUSE"
"Clu","CLUS_MOUSE"
"Igf2r","MPRI_MOUSE"
"Serpine2","GDN_MOUSE"
"Lgals3bp","LG3BP_MOUSE"
"Pros1","PROS_MOUSE"
"Fbln1","sp|Q08879|FBLN1_MOUSE"
"Plbd2","sp|Q3TCN2|PLBL2_MOUSE"
"Pdia6","Q3TML0_MOUSE"
"Manf","Q3TMX5_MOUSE (+1)"
"Hspa4","Q3U2G2_MOUSE"
"Col5a2","CO5A2_MOUSE"
"Pxdn","PXDN_MOUSE"
"Fbln7","FBLN7_MOUSE"
"Galns","GALNS_MOUSE"
"Gm2a","SAP3_MOUSE"
"Pla2g7","PAFA_MOUSE"
"Lama5","LAMA5_MOUSE"
"Cp","CERU_MOUSE (+1)"
"Arg1","ARGI1_MOUSE"
"Lcp1","PLSL_MOUSE"
"Lamb2","LAMB2_MOUSE"
"Pcolce","PCOC1_MOUSE"
"Msln","MSLN_MOUSE"
"Ecm1","sp|Q61508|ECM1_MOUSE"
"Fscn1","FSCN1_MOUSE"
"Fbn1","FBN1_MOUSE"
"Hp","HPT_MOUSE"
"Hsph1","sp|Q61699-2|HS105_MOUSE (+1)"
"Postn","sp|Q62009-2|POSTN_MOUSE"
"Dag1","DAG1_MOUSE"
"Tfrc","TFR1_MOUSE"
"Fstl1","FSTL1_MOUSE"
"Cstb","CYTB_MOUSE"
"Coch","COCH_MOUSE"
"Aebp1","sp|Q640N1|AEBP1_MOUSE"
"Aga","ASPG_MOUSE"
"Isg15","ISG15_MOUSE"
"A2m","A2MG_MOUSE"
"Sri","sp|Q6P069-2|SORCN_MOUSE (+1)"
"Timp2","Q6PI17_MOUSE (+1)"
"Thbs1","Q80YQ1_MOUSE"
"Tnc","sp|Q80YX1-2|TENA_MOUSE"
"Sct","Q80ZS9_MOUSE (+1)"
"Gns","GNS_MOUSE"
"F13a1","F13A_MOUSE"
"Qsox1","sp|Q8BND5|QSOX1_MOUSE"
"Rnase4","Q8C7E4_MOUSE"
"Prl8a8","Q8CFH0_MOUSE (+2)"
"Copa","COPA_MOUSE"
"Aoc1","AOC1_MOUSE (+1)"
"Kars","Q8R2P8_MOUSE"
"Spon1","SPON1_MOUSE"
"Rnpep","AMPB_MOUSE"
"Serpinb9g","Q8VHQ1_MOUSE"
"Hba-a1","Q91VB8_MOUSE"
"Scpep1","RISC_MOUSE"
"Vwa5a","VMA5A_MOUSE"
"Nampt","NAMPT_MOUSE"
"Dnajb11","DJB11_MOUSE"
"Epdr1","sp|Q99M71|EPDR1_MOUSE"
"Arhgdia","GDIR1_MOUSE"
"Mydgf","MYDGF_MOUSE"
"Gkn1","GKN1_MOUSE (+1)"
"Ist1","IST1_MOUSE"
"Creld2","CREL2_MOUSE"
"Gars","GARS_MOUSE"
"Vasn","VASN_MOUSE"
"Pga5","PEPA5_MOUSE"
"Htra3","sp|Q9D236-1|HTRA3_MOUSE (+1)"
"Prss23","PRS23_MOUSE"
"Serpinb9b","Q9DAV6_MOUSE"
"Lman2","LMAN2_MOUSE"
"Rarres2","RARR2_MOUSE"
"Pycard","ASC_MOUSE"
"Olr1","OLR1_MOUSE"
"Erap1","ERAP1_MOUSE"
"Mesd","MESD_MOUSE"
"Dpp7","DPP2_MOUSE"
"Hyou1","HYOU1_MOUSE"
"Sema7a","SEM7A_MOUSE"
"Fetub","FETUB_MOUSE"
"C1qtnf1","C1QT1_MOUSE"
"Gpc1","GPC1_MOUSE"
"Angptl2","ANGL2_MOUSE"
"Plod3","PLOD3_MOUSE"
"Plod1","PLOD1_MOUSE"
"Htra1","HTRA1_MOUSE"
"Pdcd6ip","sp|Q9WU78|PDC6I_MOUSE"
"Ctsz","CATZ_MOUSE"
"Asah1","ASAH1_MOUSE"
"Npc2","NPC2_MOUSE"
"Pf4","PLF4_MOUSE"
"Clic1","CLIC1_MOUSE"
"Prss1","Q9Z1R9_MOUSE"
"Lgals9","LEG9_MOUSE"
"Prkcsh","GLU2B_MOUSE"
"Itgb3","ITB3_MOUSE"
"Lamc1","LAMC1_MOUSE"
"Krt1","K2C1_MOUSE"
"Prss2","TRY2_MOUSE"
"Pdia4","PDIA4_MOUSE"
"Krt13","K1C13_MOUSE"
"Itgb1","ITB1_MOUSE"
"Hist1h2bf","H2B1F_MOUSE"
"Gsn","GELS_MOUSE"
"S100a6","S10A6_MOUSE"
"Anxa6","ANXA6_MOUSE"
"Lyz1","LYZ1_MOUSE"
"Pnp","PNPH_MOUSE"
"Capg","CAPG_MOUSE"
"Ftl1","FRIL1_MOUSE"
"Flt1","VGFR1_MOUSE"
"Itgav","ITAV_MOUSE"
"Pkm","KPYM_MOUSE"
"Gcg","GLUC_MOUSE"
"Lrpap1","AMRP_MOUSE"
"Fau","RS30_MOUSE"
"Hspd1","CH60_MOUSE"
"Actg1","ACTG_MOUSE"
"Anxa11","ANX11_MOUSE"
"Anxa4","ANXA4_MOUSE"
"Anxa7","ANXA7_MOUSE"
"Hspa4","HSP74_MOUSE"
"Hsph1","HS105_MOUSE"
"Sri","SORCN_MOUSE"
"Hist1h2bc","H2B1C_MOUSE"
"Psg22","PSG22_MOUSE"
"Rcn2","RCN2_MOUSE"
"Hist1h2bk","H2B1K_MOUSE"
"Mcfd2","MCFD2_MOUSE"
"Hdlbp","VIGLN_MOUSE"
"Rnh1","RINI_MOUSE"
"Pdia6","PDIA6_MOUSE"
"Tbc1d15","TBC15_MOUSE"
"Manf","MANF_MOUSE"
"Lman1","LMAN1_MOUSE"
"Serpinb1a","ILEUA_MOUSE"
"Pdcd6ip","PDC6I_MOUSE"
"Napsa","NAPSA_MOUSE"
"Scarb2","SCRB2_MOUSE"
"Adam10","ADA10_MOUSE"
"Anxa3","ANXA3_MOUSE"
"C1qbp","C1QBP_MOUSE"
"Hsd17b12","DHB12_MOUSE"
"Hnrnpa2b1","ROA2_MOUSE"
"Lamb1","LAMB1_MOUSE"
"Sparc","SPRC_MOUSE"
"Igf2","IGF2_MOUSE"
"Col1a1","CO1A1_MOUSE"
"Fn1","FINC_MOUSE"
"Ctsa","PPGB_MOUSE"
"Lamp2","LAMP2_MOUSE"
"Mfge8","MFGM_MOUSE"
"Serpine1","PAI1_MOUSE"
"M6pr","MPRD_MOUSE"
"Ahsg","FETUA_MOUSE"
"Vtn","VTNC_MOUSE"
"Hmgb2","HMGB2_MOUSE"
"Cd81","CD81_MOUSE"
"Cd9","CD9_MOUSE"
"Tmem165","TM165_MOUSE"
"Ncstn","NICA_MOUSE"
"Erp29","ERP29_MOUSE"
"Tm9sf2","TM9S2_MOUSE"
"Hmgb1","HMGB1_MOUSE"
"Lxn","LXN_MOUSE"
"Aqp1","AQP1_MOUSE"
"Col6a1","CO6A1_MOUSE"
"Hspg2","PGBM_MOUSE"
"Lama2","LAMA2_MOUSE"
"Psap","SAP_MOUSE"
"Glg1","GSLG1_MOUSE"
"Cd47","CD47_MOUSE"
"Dpysl3","DPYL3_MOUSE"
"Procr","EPCR_MOUSE"
"Endod1","ENDD1_MOUSE"
"Naxe","NNRE_MOUSE"
"Dnajc9","DNJC9_MOUSE"
"Tinagl1","TINAL_MOUSE"
"Kars","SYK_MOUSE"
"Pcyox1","PCYOX_MOUSE"
"Crtap","CRTAP_MOUSE"
"Hnrnpm","HNRPM_MOUSE"
"Bag6","BAG6_MOUSE"
