"Accession.New","Accession.Number.ori","S3","S4","S5","P3","P4","P5","Accession.Number.uni","ProteinID","MouseGeneName"
"GLRX3_MOUSE","GLRX3_MOUSE",0,0,0,3,0,7,"GLRX3_MOUSE","Q9CQM9","Glrx3"
"GLU2B_MOUSE","GLU2B_MOUSE",0,0,0,7,8,9,"GLU2B_MOUSE","O08795","Prkcsh"
"GLUC_MOUSE","GLUC_MOUSE",1,1,0,0,0,0,"GLUC_MOUSE","P55095","Gcg"
"GMPPA_MOUSE","GMPPA_MOUSE",0,0,0,2,0,3,"GMPPA_MOUSE","Q922H4","Gmppa"
"GMPPB_MOUSE","GMPPB_MOUSE",0,0,0,8,5,11,"GMPPB_MOUSE","Q8BTZ7","Gmppb"
"GNAI2_MOUSE","GNAI2_MOUSE",0,0,0,3,3,9,"GNAI2_MOUSE","P08752","Gnai2"
"GNAI3_MOUSE","GNAI3_MOUSE",0,0,0,5,2,6,"GNAI3_MOUSE","Q9DC51","Gnai3"
"GNAS1_MOUSE","GNAS1_MOUSE",0,0,0,3,1,0,"GNAS1_MOUSE","Q6R0H7","Gnas"
"GNPI1_MOUSE","GNPI1_MOUSE",0,0,0,2,0,2,"GNPI1_MOUSE","O88958","Gnpda1"
"GPX1_MOUSE","GPX1_MOUSE",0,0,0,5,0,4,"GPX1_MOUSE","P11352","Gpx1"
"GPX4_MOUSE","GPX4_MOUSE",0,0,0,1,0,2,"GPX41_MOUSE","O70325","Gpx4"
"GRP75_MOUSE","GRP75_MOUSE",0,0,0,1,1,1,"GRP75_MOUSE","P38647","Hspa9"
"GSTP1_MOUSE","GSTP1_MOUSE",0,0,0,3,0,4,"GSTP1_MOUSE","P19157","Gstp1"
"GTR1_MOUSE","GTR1_MOUSE",0,0,0,4,2,5,"GTR1_MOUSE","P17809","Slc2a1"
"H2AX_MOUSE","H2AX_MOUSE",0,0,0,6,0,3,"H2AX_MOUSE","P27661","H2ax"
"H2B1B_MOUSE","H2B1B_MOUSE",0,1,0,3,0,3,"H2B1B_MOUSE","Q64475","Hist1h2bb"
"H2B1C_MOUSE","H2B1C_MOUSE",0,1,1,3,0,3,"H2B1C_MOUSE","Q6ZWY9","Hist1h2bc"
"H2B1F_MOUSE","H2B1F_MOUSE",0,1,0,3,0,3,"H2B1F_MOUSE","P10853","Hist1h2bf"
"H2B1K_MOUSE","H2B1K_MOUSE",0,1,0,3,0,3,"H2B1K_MOUSE","Q8CGP1","H2bc12"
"H2B1M_MOUSE","H2B1M_MOUSE",0,1,1,3,0,3,"H2B1M_MOUSE","P10854","H2bc14"
"H2B1P_MOUSE","H2B1P_MOUSE",0,1,0,3,0,3,"H2B1P_MOUSE","Q8CGP2","Hist1h2bp"
"H2B2B_MOUSE","H2B2B_MOUSE",0,1,1,3,0,3,"H2B2B_MOUSE","Q64525","Hist2h2bb"
"H4_MOUSE","H4_MOUSE",1,2,0,4,1,6,"H4_MOUSE","P62806","Hist1h4a"
"HBBZ_MOUSE","HBBZ_MOUSE",0,0,0,6,0,9,"HBBZ_MOUSE","P04444","Hbb-bh1"
"HBE_MOUSE","HBE_MOUSE",2,0,3,7,4,11,"HBE_MOUSE","P02104","Hbb-y"
"HDAC6_MOUSE","HDAC6_MOUSE",0,0,0,0,1,4,"HDAC6_MOUSE","Q9Z2V5","Hdac6"
"HEM2_MOUSE","HEM2_MOUSE",0,0,0,8,1,10,"HEM2_MOUSE","P10518","Alad"
"HMGN5_MOUSE","HMGN5_MOUSE",0,0,0,1,0,1,"HMGN5_MOUSE","Q9JL35","Hmgn5"
"HNRPK_MOUSE","HNRPK_MOUSE",0,0,0,1,0,5,"HNRPK_MOUSE","P61979","Hnrnpk"
"HS105_MOUSE","HS105_MOUSE",0,0,0,3,4,17,"HS105_MOUSE","Q61699","Hsph1"
"HS71A_MOUSE","HS71A_MOUSE",0,0,0,5,3,6,"HS71A_MOUSE","Q61696","Hspa1a"
"HS71B_MOUSE","HS71B_MOUSE",0,0,0,5,3,6,"HS71B_MOUSE","P17879","Hspa1b"
"HS90A_MOUSE","HS90A_MOUSE",2,1,0,36,35,36,"HS90A_MOUSE","P07901","Hsp90aa1"
"HS90B_MOUSE","HS90B_MOUSE",2,1,0,36,37,41,"HS90B_MOUSE","P11499","Hsp90ab1"
"HSP72_MOUSE","HSP72_MOUSE",1,1,0,0,0,0,"HSP72_MOUSE","P17156","Hspa2"
"HSP74_MOUSE","HSP74_MOUSE",1,0,0,14,13,22,"HSP74_MOUSE","Q61316","Hspa4"
"HSP7C_MOUSE","HSP7C_MOUSE",1,1,0,30,32,33,"HSP7C_MOUSE","P63017","Hspa8"
"HYOU1_MOUSE","HYOU1_MOUSE",0,0,0,32,37,30,"HYOU1_MOUSE","Q9JKR6","Hyou1"
"IDHC_MOUSE","IDHC_MOUSE",0,0,0,2,0,13,"IDHC_MOUSE","O88844","Idh1"
"IF2A_MOUSE","IF2A_MOUSE",0,0,0,4,2,6,"IF2A_MOUSE","Q6ZWX6","Eif2s1"
"IF2B_MOUSE","IF2B_MOUSE",0,0,0,4,1,5,"IF2B_MOUSE","Q99L45","Eif2s2"
"IF2B1_MOUSE","IF2B1_MOUSE",0,0,0,2,1,3,"IF2B1_MOUSE","O88477","Igf2bp1"
"IF2G_MOUSE","IF2G_MOUSE",0,0,0,6,3,8,"IF2G_MOUSE","Q9Z0N1","Eif2s3x"
"IF2P_MOUSE","IF2P_MOUSE",0,0,0,1,0,1,"IF2P_MOUSE","Q05D44","Eif5b"
"IF4A1_MOUSE","IF4A1_MOUSE",1,0,0,13,11,16,"IF4A1_MOUSE","P60843","Eif4a1"
"IF4A2_MOUSE","IF4A2_MOUSE",1,0,0,6,6,10,"IF4A2_MOUSE","P10630","Eif4a2"
"IF4G1_MOUSE","IF4G1_MOUSE",0,0,1,2,1,1,"IF4G1_MOUSE","Q6NZJ6","Eif4g1"
"IF4H_MOUSE","IF4H_MOUSE",0,2,0,1,0,0,"IF4H_MOUSE","Q9WUK2","Eif4h"
"IF5_MOUSE","IF5_MOUSE",0,0,0,1,0,3,"IF5_MOUSE","P59325","Eif5"
"IF5A1_MOUSE","IF5A1_MOUSE",1,0,0,6,1,7,"IF5A1_MOUSE","P63242","Eif5a"
"ILEUA_MOUSE","ILEUA_MOUSE",0,0,0,2,0,3,"ILEUA_MOUSE","Q9D154","Serpinb1a"
"IMA4_MOUSE","IMA4_MOUSE",0,0,0,7,3,9,"IMA4_MOUSE","O35344","Kpna3"
"IMB1_MOUSE","IMB1_MOUSE",0,0,0,13,13,16,"IMB1_MOUSE","P70168","Kpnb1"
"INF2_MOUSE","INF2_MOUSE",0,0,0,0,1,1,"INF2_MOUSE","Q0GNC1","Inf2"
"IPO5_MOUSE","IPO5_MOUSE",0,0,0,2,2,16,"IPO5_MOUSE","Q8BKC5","Ipo5"
"IPO9_MOUSE","IPO9_MOUSE",0,0,0,3,1,5,"IPO9_MOUSE","Q91YE6","Ipo9"
"IPYR_MOUSE","IPYR_MOUSE",0,0,0,1,0,5,"IPYR_MOUSE","Q9D819","Ppa1"
"IQGA1_MOUSE","IQGA1_MOUSE",0,0,0,32,28,51,"IQGA1_MOUSE","Q9JKF1","Iqgap1"
"ITAV_MOUSE","ITAV_MOUSE",0,0,0,12,6,15,"ITAV_MOUSE","P43406","Itgav"
"ITB1_MOUSE","ITB1_MOUSE",0,0,0,1,0,6,"ITB1_MOUSE","P09055","Itgb1"
"ITB3_MOUSE","ITB3_MOUSE",0,0,0,9,4,9,"ITB3_MOUSE","O54890","Itgb3"
"JUPI2_MOUSE","JUPI2_MOUSE",1,1,0,0,0,0,"JUPI2_MOUSE","Q6PGH2","Jpt2"
"K1C10_MOUSE","K1C10_MOUSE",6,3,4,5,4,11,"K1C10_MOUSE","P02535","Krt10"
"K1C13_MOUSE","K1C13_MOUSE",4,3,0,4,0,6,"K1C13_MOUSE","P08730","Krt13"
"K1C14_MOUSE","K1C14_MOUSE",0,0,0,2,9,6,"K1C14_MOUSE","Q61781","Krt14"
"K1C17_MOUSE","K1C17_MOUSE",3,4,0,0,7,0,"K1C17_MOUSE","Q9QWL7","Krt17"
"K1C18_MOUSE","K1C18_MOUSE",0,0,0,6,1,11,"K1C18_MOUSE","P05784","Krt18"
"K22E_MOUSE","K22E_MOUSE",2,0,3,1,4,5,"K22E_MOUSE","Q3TTY5","Krt2"
"K22O_MOUSE","K22O_MOUSE",3,0,0,3,4,5,"K22O_MOUSE","Q3UV17","Krt76"
"K2C1_MOUSE","K2C1_MOUSE",4,4,8,3,4,7,"K2C1_MOUSE","P04104","Krt1"
"K2C1B_MOUSE","K2C1B_MOUSE",0,0,0,3,4,4,"K2C1B_MOUSE","Q6IFZ6","Krt77"
"K2C5_MOUSE","K2C5_MOUSE",4,4,0,3,7,5,"K2C5_MOUSE","Q922U2","Krt5"
"K2C6A_MOUSE","K2C6A_MOUSE",4,4,0,3,0,4,"K2C6A_MOUSE","P50446","Krt6a"
"K2C72_MOUSE","K2C72_MOUSE",0,0,0,1,0,2,"K2C72_MOUSE","Q6IME9","Krt72"
"K2C73_MOUSE","K2C73_MOUSE",3,3,6,0,4,4,"K2C73_MOUSE","Q6NXH9","Krt73"
"K2C75_MOUSE","K2C75_MOUSE",0,0,6,3,6,0,"K2C75_MOUSE","Q8BGZ7","Krt75"
"K2C79_MOUSE","K2C79_MOUSE",0,0,0,0,3,1,"K2C79_MOUSE","Q8VED5","Krt79"
"K2C8_MOUSE","K2C8_MOUSE",0,0,0,4,4,8,"K2C8_MOUSE","P11679","Krt8"
"KAP0_MOUSE","KAP0_MOUSE",0,0,0,2,0,1,"KAP0_MOUSE","Q9DBC7","Prkar1a"
"KCY_MOUSE","KCY_MOUSE",0,0,0,2,0,4,"KCY_MOUSE","Q9DBP5","Cmpk1"
"KINH_MOUSE","KINH_MOUSE",0,0,0,2,1,2,"KINH_MOUSE","Q61768","Kif5b"
"KPYM_MOUSE","KPYM_MOUSE",0,0,0,24,27,30,"KPYM_MOUSE","P52480","Pkm"
"LAMC1_MOUSE","LAMC1_MOUSE",0,0,0,3,0,18,"LAMC1_MOUSE","P02468","Lamc1"
"LASP1_MOUSE","LASP1_MOUSE",0,2,0,3,2,4,"LASP1_MOUSE","Q61792","Lasp1"
"LDHA_MOUSE","LDHA_MOUSE",0,0,0,19,14,22,"LDHA_MOUSE","P06151","Ldha"
"LDHB_MOUSE","LDHB_MOUSE",0,0,0,6,1,9,"LDHB_MOUSE","P16125","Ldhb"
"LEG1_MOUSE","LEG1_MOUSE",3,6,1,6,6,6,"LEG1_MOUSE","P16045","Lgals1"
"LEG3_MOUSE","LEG3_MOUSE",1,4,0,5,0,6,"LEG3_MOUSE","P16110","Lgals3"
"LEG9_MOUSE","LEG9_MOUSE",1,0,0,7,2,6,"LEG9_MOUSE","O08573","Lgals9"
"LG3BP_MOUSE","LG3BP_MOUSE",1,0,0,9,3,8,"LG3BP_MOUSE","Q07797","Lgals3bp"
"LIS1_MOUSE","LIS1_MOUSE",0,0,0,4,1,6,"LIS1_MOUSE","P63005","Pafah1b1"
"LMAN1_MOUSE","LMAN1_MOUSE",0,0,0,3,2,6,"LMAN1_MOUSE","Q9D0F3","Lman1"
"LMAN2_MOUSE","LMAN2_MOUSE",0,0,0,7,3,9,"LMAN2_MOUSE","Q9DBH5","Lman2"
"LRC59_MOUSE","LRC59_MOUSE",0,0,0,2,1,5,"LRC59_MOUSE","Q922Q8","Lrrc59"
"LRRF1_MOUSE","LRRF1_MOUSE",0,0,0,1,1,0,"LRRF1_MOUSE","Q3UZ39","Lrrfip1"
"LYZ1_MOUSE","LYZ1_MOUSE",0,0,0,0,1,1,"LYZ1_MOUSE","P17897","Lyz1"
"LYZ2_MOUSE","LYZ2_MOUSE",0,0,0,0,1,1,"LYZ2_MOUSE","P08905","Lyz2"
"MAGD1_MOUSE","MAGD1_MOUSE",0,0,0,1,2,1,"MAGD1_MOUSE","Q9QYH6","Maged1"
"MAGI1_MOUSE","MAGI1_MOUSE",1,0,0,0,1,0,"MAGI1_MOUSE","Q6RHR9","Magi1"
"MANF_MOUSE","MANF_MOUSE",0,3,0,9,1,10,"MANF_MOUSE","Q9CXI5","Manf"
"MAOX_MOUSE","MAOX_MOUSE",0,0,0,3,0,14,"MAOX_MOUSE","P06801","Me1"
"MAP4_MOUSE","MAP4_MOUSE",0,0,0,1,0,1,"MAP4_MOUSE","P27546","Map4"
"MARE1_MOUSE","MARE1_MOUSE",0,0,0,1,0,2,"MARE1_MOUSE","Q61166","Mapre1"
"MCFD2_MOUSE","MCFD2_MOUSE",0,0,0,1,0,1,"MCFD2_MOUSE","Q8K5B2","Mcfd2"
"MDHC_MOUSE","MDHC_MOUSE",0,0,0,8,1,8,"MDHC_MOUSE","P14152","Mdh1"
"MDHM_MOUSE","MDHM_MOUSE",0,0,0,4,0,8,"MDHM_MOUSE","P08249","Mdh2"
"MESD_MOUSE","MESD_MOUSE",0,0,0,2,0,2,"MESD_MOUSE","Q9ERE7","Mesd"
"MIF_MOUSE","MIF_MOUSE",0,2,0,4,0,2,"MIF_MOUSE","P34884","Mif"
"MK01_MOUSE","MK01_MOUSE",0,0,0,9,3,13,"MK01_MOUSE","P63085","Mapk1"
"ML12B_MOUSE","ML12B_MOUSE",0,0,0,2,0,5,"ML12B_MOUSE","Q3THE2","Myl12b"
"MLEC_MOUSE","MLEC_MOUSE",0,0,0,3,1,4,"MLEC_MOUSE","Q6ZQI3","Mlec"
"MORC3_MOUSE","MORC3_MOUSE",0,0,0,1,1,1,"MORC3_MOUSE","F7BJB9","Morc3"
"MP2K1_MOUSE","MP2K1_MOUSE",0,0,0,1,0,3,"MP2K1_MOUSE","P31938","Map2k1"
"MPCP_MOUSE","MPCP_MOUSE",0,0,0,2,1,4,"MPCP_MOUSE","Q8VEM8","Slc25a3"
"MTAP_MOUSE","MTAP_MOUSE",0,0,0,2,0,1,"MTAP_MOUSE","Q9CQ65","Mtap"
"MTLN_MOUSE","MTLN_MOUSE",1,1,0,0,0,0,"YB039_MOUSE","Q8BT35","Mtln"
"MTPN_MOUSE","MTPN_MOUSE",0,1,1,1,0,2,"MTPN_MOUSE","P62774","Mtpn"
"MVP_MOUSE","MVP_MOUSE",0,0,0,5,6,20,"MVP_MOUSE","Q9EQK5","Mvp"
"MYH9_MOUSE","MYH9_MOUSE",0,0,0,22,20,43,"MYH9_MOUSE","Q8VDD5","Myh9"
"MYL6_MOUSE","MYL6_MOUSE",0,0,0,5,1,8,"MYL6_MOUSE","Q60605","Myl6"
"NACA_MOUSE","NACA_MOUSE",0,0,0,2,1,0,"NACA_MOUSE","Q60817","Naca"
"NACAM_MOUSE","NACAM_MOUSE",0,0,0,2,1,4,"NACAM_MOUSE","P70670","Naca"
"NB5R3_MOUSE","NB5R3_MOUSE",0,0,0,8,4,6,"NB5R3_MOUSE","Q9DCN2","Cyb5r3"
"NCEH1_MOUSE","NCEH1_MOUSE",0,0,0,2,1,0,"NCEH1_MOUSE","Q8BLF1","Nceh1"
"NCPR_MOUSE","NCPR_MOUSE",0,0,0,13,12,17,"NCPR_MOUSE","P37040","Por"
"NDKA_MOUSE","NDKA_MOUSE",0,0,0,8,1,11,"NDKA_MOUSE","P15532","Nme1"
"NDKB_MOUSE","NDKB_MOUSE",0,0,0,9,1,10,"NDKB_MOUSE","Q01768","Nme2"
"NDRG1_MOUSE","NDRG1_MOUSE",0,0,0,3,0,2,"NDRG1_MOUSE","Q62433","Ndrg1"
"NEDD4_MOUSE","NEDD4_MOUSE",0,0,0,2,0,3,"NEDD4_MOUSE","P46935","Nedd4"
"NP1L1_MOUSE","NP1L1_MOUSE",0,0,0,4,0,6,"NP1L1_MOUSE","P28656","Nap1l1"
"NP1L4_MOUSE","NP1L4_MOUSE",0,0,0,6,0,8,"NP1L4_MOUSE","Q78ZA7","Nap1l4"
"NPC2_MOUSE","NPC2_MOUSE",0,1,0,1,0,2,"NPC2_MOUSE","Q9Z0J0","Npc2"
"NSF1C_MOUSE","NSF1C_MOUSE",0,0,0,3,0,6,"NSF1C_MOUSE","Q9CZ44","Nsfl1c"
"NUB1_MOUSE","NUB1_MOUSE",0,0,0,6,5,4,"NUB1_MOUSE","P54729","Nub1"
"NUCB2_MOUSE","NUCB2_MOUSE",0,0,0,5,0,1,"NUCB2_MOUSE","P81117","Nucb2"
"NUDC_MOUSE","NUDC_MOUSE",0,0,0,2,0,3,"NUDC_MOUSE","O35685","Nudc"
"OBSL1_MOUSE","OBSL1_MOUSE",0,0,0,1,1,3,"OBSL1_MOUSE","D3YYU8","Obsl1"
"ODPAT_MOUSE","ODPAT_MOUSE",1,1,0,1,1,1,"ODPAT_MOUSE","P35487","Pdha2"
"OLA1_MOUSE","OLA1_MOUSE",0,0,0,2,0,5,"OLA1_MOUSE","Q9CZ30","Ola1"
"OSBP1_MOUSE","OSBP1_MOUSE",0,0,0,3,0,3,"OSBP1_MOUSE","Q3B7Z2","Osbp"
"OST48_MOUSE","OST48_MOUSE",0,0,0,10,6,11,"OST48_MOUSE","O54734","Ddost"
"OSTC_MOUSE","OSTC_MOUSE",0,0,0,0,1,1,"OSTC_MOUSE","Q78XF5","Ostc"
"OSTF1_MOUSE","OSTF1_MOUSE",0,0,0,3,0,4,"OSTF1_MOUSE","Q62422","Ostf1"
"OTUB1_MOUSE","OTUB1_MOUSE",0,0,0,3,0,3,"OTUB1_MOUSE","Q7TQI3","Otub1"
"P4HA1_MOUSE","P4HA1_MOUSE",0,0,0,12,6,13,"P4HA1_MOUSE","Q60715","P4ha1"
"P4HA2_MOUSE","P4HA2_MOUSE",0,0,0,8,7,11,"P4HA2_MOUSE","Q60716","P4ha2"
"PA1B2_MOUSE","PA1B2_MOUSE",0,0,0,1,0,4,"PA1B2_MOUSE","Q61206","Pafah1b2"
"PA1B3_MOUSE","PA1B3_MOUSE",0,0,0,1,0,1,"PA1B3_MOUSE","Q61205","Pafah1b3"
"PA2G4_MOUSE","PA2G4_MOUSE",0,0,0,1,1,5,"PA2G4_MOUSE","P50580","Pa2g4"
"PABP1_MOUSE","PABP1_MOUSE",0,0,0,3,0,6,"PABP1_MOUSE","P29341","Pabpc1"
"PAIRB_MOUSE","PAIRB_MOUSE",0,0,0,1,0,2,"PAIRB_MOUSE","Q9CY58","Serbp1"
"PAK2_MOUSE","PAK2_MOUSE",0,0,0,5,0,9,"PAK2_MOUSE","Q8CIN4","Pak2"
"PCBP1_MOUSE","PCBP1_MOUSE",0,0,0,5,4,10,"PCBP1_MOUSE","P60335","Pcbp1"
"PCBP2_MOUSE","PCBP2_MOUSE",1,0,0,2,0,2,"PCBP2_MOUSE","Q61990","Pcbp2"
"PCBP3_MOUSE","PCBP3_MOUSE",0,0,0,2,0,2,"PCBP3_MOUSE","P57722","Pcbp3"
"PDC6I_MOUSE","PDC6I_MOUSE",0,0,0,8,7,15,"PDC6I_MOUSE","Q9WU78","Pdcd6ip"
"PDIA1_MOUSE","PDIA1_MOUSE",0,1,0,36,30,29,"PDIA1_MOUSE","P09103","P4hb"
"PDIA3_MOUSE","PDIA3_MOUSE",0,0,0,37,26,34,"PDIA3_MOUSE","P27773","Pdia3"
"PDIA4_MOUSE","PDIA4_MOUSE",0,0,0,24,26,18,"PDIA4_MOUSE","P08003","Pdia4"
"PDIA5_MOUSE","PDIA5_MOUSE",0,0,0,9,3,10,"PDIA5_MOUSE","Q921X9","Pdia5"
"PDIA6_MOUSE","PDIA6_MOUSE",1,0,0,23,12,21,"PDIA6_MOUSE","Q922R8","Pdia6"
"PDLI1_MOUSE","PDLI1_MOUSE",0,9,0,12,1,13,"PDLI1_MOUSE","O70400","Pdlim1"
"PDXD1_MOUSE","PDXD1_MOUSE",0,0,0,1,2,0,"PDXD1_MOUSE","Q99K01","Pdxdc1"
"PEBP1_MOUSE","PEBP1_MOUSE",0,1,0,5,0,0,"PEBP1_MOUSE","P70296","Pebp1"
"PEG10_MOUSE","PEG10_MOUSE",0,0,0,12,10,14,"PEG10_MOUSE","Q7TN75","Peg10"
"PEPD_MOUSE","PEPD_MOUSE",0,0,0,3,2,7,"PEPD_MOUSE","Q11136","Pepd"
"PFKAP_MOUSE","PFKAP_MOUSE",0,0,0,15,10,20,"PFKAP_MOUSE","Q9WUA3","Pfkp"
"PGAM1_MOUSE","PGAM1_MOUSE",0,0,0,8,2,10,"PGAM1_MOUSE","Q9DBJ1","Pgam1"
"PGK1_MOUSE","PGK1_MOUSE",0,0,1,13,2,18,"PGK1_MOUSE","P09411","Pgk1"
"PGM1_MOUSE","PGM1_MOUSE",0,0,0,7,4,11,"PGM1_MOUSE","Q9D0F9","Pgm1"
"PGM2_MOUSE","PGM2_MOUSE",0,0,0,1,3,7,"PGM2_MOUSE","Q7TSV4","Pgm2"
"PLAC8_MOUSE","PLAC8_MOUSE",0,0,0,1,1,2,"PLAC8_MOUSE","Q9JI48","Plac8"
"PLAK_MOUSE","PLAK_MOUSE",0,0,0,1,7,3,"PLAK_MOUSE","Q02257","Jup"
"PLCH1_MOUSE","PLCH1_MOUSE",0,0,0,1,0,1,"PLCH1_MOUSE","Q4KWH5","Plch1"
"PLIN3_MOUSE","PLIN3_MOUSE",0,0,0,9,5,10,"PLIN3_MOUSE","Q9DBG5","Plin3"
"PLSL_MOUSE","PLSL_MOUSE",0,0,0,14,2,26,"PLSL_MOUSE","Q61233","Lcp1"
"PNPH_MOUSE","PNPH_MOUSE",0,0,0,4,0,7,"PNPH_MOUSE","P23492","Pnp"
"PP1A_MOUSE","PP1A_MOUSE",0,0,0,1,0,4,"PP1A_MOUSE","P62137","Ppp1ca"
"PP2AA_MOUSE","PP2AA_MOUSE",0,0,0,1,0,4,"PP2AA_MOUSE","P63330","Ppp2ca"
"PPCE_MOUSE","PPCE_MOUSE",0,0,0,7,3,20,"PPCE_MOUSE","Q9QUR6","Prep"
"PPIA_MOUSE","PPIA_MOUSE",1,5,0,8,3,8,"PPIA_MOUSE","P17742","Ppia"
"PPIB_MOUSE","PPIB_MOUSE",0,0,0,11,6,12,"PPIB_MOUSE","P24369","Ppib"
"PPIC_MOUSE","PPIC_MOUSE",0,0,0,1,0,1,"PPIC_MOUSE","P30412","Ppic"
"PRDX1_MOUSE","PRDX1_MOUSE",0,0,0,7,6,12,"PRDX1_MOUSE","P35700","Prdx1"
"PRDX2_MOUSE","PRDX2_MOUSE",0,0,1,4,0,10,"PRDX2_MOUSE","Q61171","Prdx2"
"PRDX4_MOUSE","PRDX4_MOUSE",0,0,0,2,3,6,"PRDX4_MOUSE","O08807","Prdx4"
"PRDX5_MOUSE","PRDX5_MOUSE",1,1,0,1,0,1,"PRDX5_MOUSE","P99029","Prdx5"
"PRDX6_MOUSE","PRDX6_MOUSE",0,0,0,2,0,8,"PRDX6_MOUSE","O08709","Prdx6"
"PROF1_MOUSE","PROF1_MOUSE",0,2,0,5,4,8,"PROF1_MOUSE","P62962","Pfn1"
"PRS10_MOUSE","PRS10_MOUSE",0,0,0,2,0,7,"PRS10_MOUSE","P62334","Psmc6"
"PRS4_MOUSE","PRS4_MOUSE",0,0,0,3,0,5,"PRS4_MOUSE","P62192","Psmc1"
"PRS6A_MOUSE","PRS6A_MOUSE",0,0,0,6,1,9,"PRS6A_MOUSE","O88685","Psmc3"
"PRS6B_MOUSE","PRS6B_MOUSE",0,0,0,7,0,9,"PRS6B_MOUSE","P54775","Psmc4"
"PRS7_MOUSE","PRS7_MOUSE",0,0,0,5,0,9,"PRS7_MOUSE","P46471","Psmc2"
"PRS8_MOUSE","PRS8_MOUSE",0,0,0,4,0,8,"PRS8_MOUSE","P62196","Psmc5"
"PSA1_MOUSE","PSA1_MOUSE",0,0,0,3,0,6,"PSA1_MOUSE","Q9R1P4","Psma1"
"PSA2_MOUSE","PSA2_MOUSE",0,0,0,2,0,4,"PSA2_MOUSE","P49722","Psma2"
"PSA3_MOUSE","PSA3_MOUSE",0,0,0,2,1,2,"PSA3_MOUSE","O70435","Psma3"
"PSA4_MOUSE","PSA4_MOUSE",0,0,0,3,0,5,"PSA4_MOUSE","Q9R1P0","Psma4"
"PSA5_MOUSE","PSA5_MOUSE",0,0,0,3,0,8,"PSA5_MOUSE","Q9Z2U1","Psma5"
"PSA6_MOUSE","PSA6_MOUSE",0,0,0,4,1,6,"PSA6_MOUSE","Q9QUM9","Psma6"
"PSA7_MOUSE","PSA7_MOUSE",0,0,0,3,0,8,"PSA7_MOUSE","Q9Z2U0","Psma7"
"PSB1_MOUSE","PSB1_MOUSE",0,0,0,4,0,5,"PSB1_MOUSE","O09061","Psmb1"
"PSB2_MOUSE","PSB2_MOUSE",0,0,0,3,0,3,"PSB2_MOUSE","Q9R1P3","Psmb2"
"PSB3_MOUSE","PSB3_MOUSE",0,0,0,2,0,3,"PSB3_MOUSE","Q9R1P1","Psmb3"
"PSB4_MOUSE","PSB4_MOUSE",0,0,0,4,0,4,"PSB4_MOUSE","P99026","Psmb4"
"PSB5_MOUSE","PSB5_MOUSE",0,0,0,1,0,6,"PSB5_MOUSE","O55234","Psmb5"
"PSB6_MOUSE","PSB6_MOUSE",0,0,0,2,0,3,"PSB6_MOUSE","Q60692","Psmb6"
"PSD11_MOUSE","PSD11_MOUSE",0,0,0,5,0,8,"PSD11_MOUSE","Q8BG32","Psmd11"
"PSD12_MOUSE","PSD12_MOUSE",0,0,0,8,1,11,"PSD12_MOUSE","Q9D8W5","Psmd12"
"PSD13_MOUSE","PSD13_MOUSE",0,0,0,5,2,8,"PSD13_MOUSE","Q9WVJ2","Psmd13"
