"Accession.New","Accession.Number.ori","S3","S4","S5","P3","P4","P5","Accession.Number.uni","ProteinID","MouseGeneName"
"PSDE_MOUSE","PSDE_MOUSE",0,0,0,5,0,5,"PSDE_MOUSE","O35593","Psmd14"
"PSG22_MOUSE","PSG22_MOUSE",0,0,0,3,2,3,"PSG22_MOUSE","Q810J1","Psg22"
"PSMD1_MOUSE","PSMD1_MOUSE",0,0,0,8,2,14,"PSMD1_MOUSE","Q3TXS7","Psmd1"
"PSMD2_MOUSE","PSMD2_MOUSE",0,0,0,10,7,12,"PSMD2_MOUSE","Q8VDM4","Psmd2"
"PSMD3_MOUSE","PSMD3_MOUSE",0,0,0,5,3,9,"PSMD3_MOUSE","P14685","Psmd3"
"PSMD4_MOUSE","PSMD4_MOUSE",0,0,0,4,0,3,"PSMD4_MOUSE","O35226","Psmd4"
"PSMD6_MOUSE","PSMD6_MOUSE",0,0,0,6,2,6,"PSMD6_MOUSE","Q99JI4","Psmd6"
"PSMD7_MOUSE","PSMD7_MOUSE",0,0,0,5,0,4,"PSMD7_MOUSE","P26516","Psmd7"
"PSMD8_MOUSE","PSMD8_MOUSE",0,0,0,2,0,3,"PSMD8_MOUSE","Q9CX56","Psmd8"
"PSME1_MOUSE","PSME1_MOUSE",0,0,0,1,0,3,"PSME1_MOUSE","P97371","Psme1"
"PSME2_MOUSE","PSME2_MOUSE",0,0,0,1,1,5,"PSME2_MOUSE","P97372","Psme2"
"PTMA_MOUSE","PTMA_MOUSE",1,1,0,1,0,1,"PTMA_MOUSE","P26350","Ptma"
"PUR9_MOUSE","PUR9_MOUSE",0,0,0,5,3,13,"PUR9_MOUSE","Q9CWJ9","Atic"
"PYR1_MOUSE","PYR1_MOUSE",0,0,0,2,4,1,"PYR1_MOUSE","B2RQC6","Cad"
"QCR9_MOUSE","QCR9_MOUSE",1,1,0,0,0,0,"QCR9_MOUSE","Q8R1I1","Uqcr10"
"RAB18_MOUSE","RAB18_MOUSE",0,0,0,1,1,0,"RAB18_MOUSE","P35293","Rab18"
"RAB1B_MOUSE","RAB1B_MOUSE",0,0,0,4,0,5,"RAB1B_MOUSE","Q9D1G1","Rab1b"
"RAB2A_MOUSE","RAB2A_MOUSE",0,0,0,1,2,3,"RAB2A_MOUSE","P53994","Rab2a"
"RAC1_MOUSE","RAC1_MOUSE",0,0,0,2,1,5,"RAC1_MOUSE","P63001","Rac1"
"RAC3_MOUSE","RAC3_MOUSE",0,0,0,2,1,0,"RAC3_MOUSE","P60764","Rac3"
"RACK1_MOUSE","RACK1_MOUSE",0,0,0,5,0,14,"RACK1_MOUSE","P68040","Rack1"
"RADI_MOUSE","RADI_MOUSE",0,0,0,7,6,5,"RADI_MOUSE","P26043","Rdx"
"RALB_MOUSE","RALB_MOUSE",0,0,0,3,0,3,"RALB_MOUSE","Q9JIW9","Ralb"
"RAN_MOUSE","RAN_MOUSE",1,0,0,6,0,6,"RAN_MOUSE","P62827","Ran"
"RANG_MOUSE","RANG_MOUSE",0,0,0,3,0,5,"RANG_MOUSE","P34022","Ranbp1"
"RAP1B_MOUSE","RAP1B_MOUSE",0,0,0,3,0,4,"RAP1B_MOUSE","Q99JI6","Rap1b"
"RBX1_MOUSE","RBX1_MOUSE",1,0,0,1,0,1,"RBX1_MOUSE","P62878","Rbx1"
"RCN2_MOUSE","RCN2_MOUSE",0,0,0,1,0,3,"RCN2_MOUSE","Q8BP92","Rcn2"
"RD23B_MOUSE","RD23B_MOUSE",0,0,0,3,0,4,"RD23B_MOUSE","P54728","Rad23b"
"RER1_MOUSE","RER1_MOUSE",0,0,0,1,0,1,"RER1_MOUSE","Q9CQU3","Rer1"
"RHG01_MOUSE","RHG01_MOUSE",0,0,0,5,0,2,"RHG01_MOUSE","Q5FWK3","Arhgap1"
"RHOA_MOUSE","RHOA_MOUSE",0,0,0,6,5,8,"RHOA_MOUSE","Q9QUI0","Rhoa"
"RHOC_MOUSE","RHOC_MOUSE",0,0,0,6,0,8,"RHOC_MOUSE","Q62159","Rhoc"
"RINI_MOUSE","RINI_MOUSE",0,0,0,13,6,18,"RINI_MOUSE","Q91VI7","Rnh1"
"RL10_MOUSE","RL10_MOUSE",0,0,0,1,0,4,"RL10_MOUSE","Q6ZWV3","Rpl10"
"RL10A_MOUSE","RL10A_MOUSE",0,0,0,1,0,5,"RL10A_MOUSE","P53026","Rpl10a"
"RL11_MOUSE","RL11_MOUSE",2,0,0,2,1,3,"RL11_MOUSE","Q9CXW4","Rpl11"
"RL12_MOUSE","RL12_MOUSE",0,0,0,2,0,5,"RL12_MOUSE","P35979","Rpl12"
"RL13_MOUSE","RL13_MOUSE",0,4,0,2,0,3,"RL13_MOUSE","P47963","Rpl13"
"RL13A_MOUSE","RL13A_MOUSE",0,0,0,2,0,4,"RL13A_MOUSE","P19253","Rpl13a"
"RL14_MOUSE","RL14_MOUSE",0,2,0,2,0,3,"RL14_MOUSE","Q9CR57","Rpl14"
"RL15_MOUSE","RL15_MOUSE",0,0,0,2,1,4,"RL15_MOUSE","Q9CZM2","Rpl15"
"RL17_MOUSE","RL17_MOUSE",0,1,0,1,0,4,"RL17_MOUSE","Q9CPR4","Rpl17"
"RL18_MOUSE","RL18_MOUSE",0,0,0,2,0,2,"RL18_MOUSE","P35980","Rpl18"
"RL18A_MOUSE","RL18A_MOUSE",0,2,0,4,0,4,"RL18A_MOUSE","P62717","Rpl18a"
"RL19_MOUSE","RL19_MOUSE",0,0,0,1,1,1,"RL19_MOUSE","P84099","Rpl19"
"RL22L_MOUSE","RL22L_MOUSE",0,0,0,1,0,2,"RL22L_MOUSE","Q9D7S7","Rpl22l1"
"RL23_MOUSE","RL23_MOUSE",1,3,0,2,0,3,"RL23_MOUSE","P62830","Rpl23"
"RL23A_MOUSE","RL23A_MOUSE",0,2,0,1,0,3,"RL23A_MOUSE","P62751","Rpl23a"
"RL24_MOUSE","RL24_MOUSE",0,2,0,2,0,3,"RL24_MOUSE","Q8BP67","Rpl24"
"RL26_MOUSE","RL26_MOUSE",0,1,0,1,0,1,"RL26_MOUSE","P61255","Rpl26"
"RL27_MOUSE","RL27_MOUSE",0,3,0,3,0,3,"RL27_MOUSE","P61358","Rpl27"
"RL27A_MOUSE","RL27A_MOUSE",0,3,0,1,0,3,"RL27A_MOUSE","P14115","Rpl27a"
"RL28_MOUSE","RL28_MOUSE",0,0,0,1,0,1,"RL28_MOUSE","P41105","Rpl28"
"RL3_MOUSE","RL3_MOUSE",0,0,0,1,1,5,"RL3_MOUSE","P27659","Rpl3"
"RL30_MOUSE","RL30_MOUSE",0,2,0,3,0,2,"RL30_MOUSE","P62889","Rpl30"
"RL31_MOUSE","RL31_MOUSE",0,1,0,1,0,1,"RL31_MOUSE","P62900","Rpl31"
"RL35A_MOUSE","RL35A_MOUSE",0,1,0,0,0,1,"RL35A_MOUSE","O55142","Rpl35a"
"RL36_MOUSE","RL36_MOUSE",0,1,0,0,0,2,"RL36_MOUSE","P47964","Rpl36"
"RL37A_MOUSE","RL37A_MOUSE",0,1,0,1,0,1,"RL37A_MOUSE","P61514","Rpl37a"
"RL38_MOUSE","RL38_MOUSE",0,2,0,1,0,3,"RL38_MOUSE","Q9JJI8","Rpl38"
"RL4_MOUSE","RL4_MOUSE",0,0,0,5,4,11,"RL4_MOUSE","Q9D8E6","Rpl4"
"RL5_MOUSE","RL5_MOUSE",0,0,0,3,2,5,"RL5_MOUSE","P47962","Rpl5"
"RL6_MOUSE","RL6_MOUSE",0,0,0,4,3,5,"RL6_MOUSE","P47911","Rpl6"
"RL7_MOUSE","RL7_MOUSE",0,0,0,2,0,6,"RL7_MOUSE","P14148","Rpl7"
"RL7A_MOUSE","RL7A_MOUSE",0,1,0,4,1,7,"RL7A_MOUSE","P12970","Rpl7a"
"RL8_MOUSE","RL8_MOUSE",0,0,0,1,0,4,"RL8_MOUSE","P62918","Rpl8"
"RL9_MOUSE","RL9_MOUSE",0,0,0,4,1,4,"RL9_MOUSE","P51410","Rpl9"
"RLA0_MOUSE","RLA0_MOUSE",0,0,0,4,2,5,"RLA0_MOUSE","P14869","Rplp0"
"RLA1_MOUSE","RLA1_MOUSE",0,0,2,5,0,4,"RLA1_MOUSE","P47955","Rplp1"
"RLA2_MOUSE","RLA2_MOUSE",0,1,0,3,0,4,"RLA2_MOUSE","P99027","Rplp2"
"ROA3_MOUSE","ROA3_MOUSE",0,0,0,1,0,1,"ROA3_MOUSE","Q8BG05","Hnrnpa3"
"RPN1_MOUSE","RPN1_MOUSE",0,0,0,12,7,18,"RPN1_MOUSE","Q91YQ5","Rpn1"
"RPN2_MOUSE","RPN2_MOUSE",0,0,0,8,5,13,"RPN2_MOUSE","Q9DBG6","Rpn2"
"RRBP1_MOUSE","RRBP1_MOUSE",1,0,0,6,4,7,"RRBP1_MOUSE","Q99PL5","Rrbp1"
"RS10_MOUSE","RS10_MOUSE",0,3,0,3,0,5,"RS10_MOUSE","P63325","Rps10"
"RS11_MOUSE","RS11_MOUSE",0,1,0,2,0,2,"RS11_MOUSE","P62281","Rps11"
"RS12_MOUSE","RS12_MOUSE",0,0,0,2,1,4,"RS12_MOUSE","P63323","Rps12"
"RS13_MOUSE","RS13_MOUSE",0,0,0,4,0,4,"RS13_MOUSE","P62301","Rps13"
"RS14_MOUSE","RS14_MOUSE",0,2,0,3,0,3,"RS14_MOUSE","P62264","Rps14"
"RS15A_MOUSE","RS15A_MOUSE",0,0,0,3,1,6,"RS15A_MOUSE","P62245","Rps15a"
"RS16_MOUSE","RS16_MOUSE",0,2,0,3,0,3,"RS16_MOUSE","P14131","Rps16"
"RS17_MOUSE","RS17_MOUSE",0,0,0,3,0,4,"RS17_MOUSE","P63276","Rps17"
"RS18_MOUSE","RS18_MOUSE",0,0,0,1,0,3,"RS18_MOUSE","P62270","Rps18"
"RS19_MOUSE","RS19_MOUSE",0,2,0,1,0,2,"RS19_MOUSE","Q9CZX8","Rps19"
"RS2_MOUSE","RS2_MOUSE",0,0,0,4,0,8,"RS2_MOUSE","P25444","Rps2"
"RS20_MOUSE","RS20_MOUSE",0,2,0,3,0,3,"RS20_MOUSE","P60867","Rps20"
"RS23_MOUSE","RS23_MOUSE",0,1,0,2,0,3,"RS23_MOUSE","P62267","Rps23"
"RS24_MOUSE","RS24_MOUSE",0,2,0,1,0,4,"RS24_MOUSE","P62849","Rps24"
"RS25_MOUSE","RS25_MOUSE",0,2,0,1,0,3,"RS25_MOUSE","P62852","Rps25"
"RS26_MOUSE","RS26_MOUSE",0,0,0,1,0,1,"RS26_MOUSE","P62855","Rps26"
"RS27A_MOUSE","RS27A_MOUSE",1,2,0,0,0,3,"RS27A_MOUSE","P62983","Rps27a"
"RS27L_MOUSE","RS27L_MOUSE",0,2,0,2,1,2,"RS27L_MOUSE","Q6ZWY3","Rps27l"
"RS28_MOUSE","RS28_MOUSE",0,1,0,0,0,1,"RS28_MOUSE","P62858","Rps28"
"RS3_MOUSE","RS3_MOUSE",0,0,0,7,4,10,"RS3_MOUSE","P62908","Rps3"
"RS30_MOUSE","RS30_MOUSE",0,1,0,1,0,1,"RS30_MOUSE","P62862","Fau"
"RS4X_MOUSE","RS4X_MOUSE",0,0,0,7,0,7,"RS4X_MOUSE","P62702","Rps4x"
"RS5_MOUSE","RS5_MOUSE",0,0,0,2,2,4,"RS5_MOUSE","P97461","Rps5"
"RS6_MOUSE","RS6_MOUSE",0,0,0,3,1,3,"RS6_MOUSE","P62754","Rps6"
"RS7_MOUSE","RS7_MOUSE",0,0,0,3,0,5,"RS7_MOUSE","P62082","Rps7"
"RS8_MOUSE","RS8_MOUSE",0,0,0,6,4,5,"RS8_MOUSE","P62242","Rps8"
"RS9_MOUSE","RS9_MOUSE",0,0,0,2,0,4,"RS9_MOUSE","Q6ZWN5","Rps9"
"RSSA_MOUSE","RSSA_MOUSE",0,0,0,8,1,13,"RSSA_MOUSE","P14206","Rpsa"
"S10A6_MOUSE","S10A6_MOUSE",4,1,0,6,4,3,"S10A6_MOUSE","P14069","S100a6"
"S10AA_MOUSE","S10AA_MOUSE",2,1,0,0,0,0,"S10AA_MOUSE","P08207","S100a10"
"S10AB_MOUSE","S10AB_MOUSE",2,0,0,4,0,3,"S10AB_MOUSE","P50543","S100a11"
"S61A1_MOUSE","S61A1_MOUSE",0,0,0,2,0,2,"S61A1_MOUSE","P61620","Sec61a1"
"SC11A_MOUSE","SC11A_MOUSE",0,0,0,1,0,1,"SC11A_MOUSE","Q9R0P6","Sec11a"
"SC22B_MOUSE","SC22B_MOUSE",0,0,0,2,0,6,"SC22B_MOUSE","O08547","Sec22b"
"SC23B_MOUSE","SC23B_MOUSE",0,0,0,3,0,3,"SC23B_MOUSE","Q9D662","Sec23b"
"SC31A_MOUSE","SC31A_MOUSE",0,0,0,8,3,5,"SC31A_MOUSE","Q3UPL0","Sec31a"
"SC61G_MOUSE","SC61G_MOUSE",0,0,0,1,0,1,"SC61G_MOUSE","P60060","Sec61g"
"SDF2L_MOUSE","SDF2L_MOUSE",0,1,0,5,0,6,"SDF2L_MOUSE","Q9ESP1","Sdf2l1"
"SEC13_MOUSE","SEC13_MOUSE",0,0,0,2,0,2,"SEC13_MOUSE","Q9D1M0","Sec13"
"SERPH_MOUSE","SERPH_MOUSE",0,1,0,23,14,22,"SERPH_MOUSE","P19324","Serpinh1"
"SGT1_MOUSE","SGT1_MOUSE",0,0,0,1,0,1,"SGT1_MOUSE","Q9CX34","Sugt1"
"SGTA_MOUSE","SGTA_MOUSE",0,0,0,1,0,2,"SGTA_MOUSE","Q8BJU0","Sgta"
"SIAS_MOUSE","SIAS_MOUSE",0,0,0,3,0,6,"SIAS_MOUSE","Q99J77","Nans"
"SNAA_MOUSE","SNAA_MOUSE",0,0,0,1,0,10,"SNAA_MOUSE","Q9DB05","Napa"
"SND1_MOUSE","SND1_MOUSE",0,0,0,6,4,17,"SND1_MOUSE","Q78PY7","Snd1"
"SODC_MOUSE","SODC_MOUSE",0,4,0,1,0,4,"SODC_MOUSE","P08228","Sod1"
"SORCN_MOUSE","SORCN_MOUSE",0,0,0,5,3,5,"SORCN_MOUSE","Q6P069","Sri"
"SPCS1_MOUSE","SPCS1_MOUSE",0,0,0,1,0,2,"SPCS1_MOUSE","Q9D958","Spcs1"
"SPEE_MOUSE","SPEE_MOUSE",0,0,0,1,0,4,"SPEE_MOUSE","Q64674","Srm"
"SRC8_MOUSE","SRC8_MOUSE",0,0,0,0,2,2,"SRC8_MOUSE","Q60598","Cttn"
"SRP68_MOUSE","SRP68_MOUSE",0,0,0,2,1,0,"SRP68_MOUSE","Q8BMA6","Srp68"
"SRPRB_MOUSE","SRPRB_MOUSE",0,0,0,2,2,4,"SRPRB_MOUSE","P47758","Srprb"
"SSRA_MOUSE","SSRA_MOUSE",0,0,0,2,0,3,"SSRA_MOUSE","Q9CY50","Ssr1"
"SSRD_MOUSE","SSRD_MOUSE",0,0,0,2,1,3,"SSRD_MOUSE","Q62186","Ssr4"
"SSRG_MOUSE","SSRG_MOUSE",0,0,0,1,0,1,"SSRG_MOUSE","Q9DCF9","Ssr3"
"STIP1_MOUSE","STIP1_MOUSE",0,0,0,9,2,13,"STIP1_MOUSE","Q60864","Stip1"
"STK24_MOUSE","STK24_MOUSE",0,0,0,1,0,1,"STK24_MOUSE","Q99KH8","Stk24"
"STT3A_MOUSE","STT3A_MOUSE",0,0,0,2,0,4,"STT3A_MOUSE","P46978","Stt3a"
"SURF4_MOUSE","SURF4_MOUSE",0,0,0,3,1,3,"SURF4_MOUSE","Q64310","Surf4"
"SYNE2_MOUSE","SYNE2_MOUSE",1,0,0,0,0,2,"SYNE2_MOUSE","Q6ZWQ0","Syne2"
"T22D1_MOUSE","T22D1_MOUSE",0,1,0,1,0,0,"T22D1_MOUSE","P62500","Tsc22d1"
"TAGL2_MOUSE","TAGL2_MOUSE",0,0,0,9,3,10,"TAGL2_MOUSE","Q9WVA4","Tagln2"
"TBA1A_MOUSE","TBA1A_MOUSE",1,0,1,16,16,19,"TBA1A_MOUSE","P68369","Tuba1a"
"TBA1B_MOUSE","TBA1B_MOUSE",1,0,1,16,17,19,"TBA1B_MOUSE","P05213","Tuba1b"
"TBA1C_MOUSE","TBA1C_MOUSE",1,0,1,15,15,19,"TBA1C_MOUSE","P68373","Tuba1c"
"TBB4B_MOUSE","TBB4B_MOUSE",0,0,2,21,0,25,"TBB4B_MOUSE","P68372","Tubb4b"
"TBB5_MOUSE","TBB5_MOUSE",0,0,2,23,20,25,"TBB5_MOUSE","P99024","Tubb5"
"TBC15_MOUSE","TBC15_MOUSE",0,0,0,2,2,1,"TBC15_MOUSE","Q9CXF4","Tbc1d15"
"TCPA_MOUSE","TCPA_MOUSE",0,0,0,15,15,18,"TCPA_MOUSE","P11983","Tcp1"
"TCPB_MOUSE","TCPB_MOUSE",0,0,0,18,10,25,"TCPB_MOUSE","P80314","Cct2"
"TCPD_MOUSE","TCPD_MOUSE",0,0,0,13,10,19,"TCPD_MOUSE","P80315","Cct4"
"TCPE_MOUSE","TCPE_MOUSE",0,0,0,11,12,18,"TCPE_MOUSE","P80316","Cct5"
"TCPG_MOUSE","TCPG_MOUSE",0,0,0,17,12,21,"TCPG_MOUSE","P80318","Cct3"
"TCPH_MOUSE","TCPH_MOUSE",0,0,0,12,9,18,"TCPH_MOUSE","P80313","Cct7"
"TCPQ_MOUSE","TCPQ_MOUSE",0,0,0,15,13,26,"TCPQ_MOUSE","P42932","Cct8"
"TCPZ_MOUSE","TCPZ_MOUSE",0,0,0,11,8,16,"TCPZ_MOUSE","P80317","Cct6a"
"TCTP_MOUSE","TCTP_MOUSE",0,0,0,4,0,4,"TCTP_MOUSE","P63028","Tpt1"
"TEBP_MOUSE","TEBP_MOUSE",1,1,0,4,0,4,"TEBP_MOUSE","Q9R0Q7","Ptges3"
"TERA_MOUSE","TERA_MOUSE",0,0,0,32,40,42,"TERA_MOUSE","Q01853","Vcp"
"TGM2_MOUSE","TGM2_MOUSE",0,0,0,18,14,20,"TGM2_MOUSE","P21981","Tgm2"
"THIKA_MOUSE","THIKA_MOUSE",1,0,0,1,0,1,"THIKA_MOUSE","Q921H8","Acaa1a"
"THIKB_MOUSE","THIKB_MOUSE",1,0,0,0,0,1,"THIKB_MOUSE","Q8VCH0","Acaa1b"
"TKFC_MOUSE","TKFC_MOUSE",0,0,0,2,0,1,"TKFC_MOUSE","Q8VC30","Tkfc"
"TKT_MOUSE","TKT_MOUSE",0,0,0,4,3,6,"TKT_MOUSE","P40142","Tkt"
"TLN1_MOUSE","TLN1_MOUSE",0,0,0,48,59,68,"TLN1_MOUSE","P26039","Tln1"
"TMED2_MOUSE","TMED2_MOUSE",0,0,0,3,0,4,"TMED2_MOUSE","Q9R0Q3","Tmed2"
"TMED9_MOUSE","TMED9_MOUSE",1,0,0,4,0,6,"TMED9_MOUSE","Q99KF1","Tmed9"
"TMEDA_MOUSE","TMEDA_MOUSE",0,0,0,4,0,4,"TMEDA_MOUSE","Q9D1D4","Tmed10"
"TNPO1_MOUSE","TNPO1_MOUSE",0,0,0,0,1,3,"TNPO1_MOUSE","Q8BFY9","Tnpo1"
"TNR9_MOUSE","TNR9_MOUSE",0,2,0,2,0,2,"TNR9_MOUSE","P20334","Tnfrsf9"
"TOM20_MOUSE","TOM20_MOUSE",1,1,0,0,0,0,"TOM20_MOUSE","Q9DCC8","Tomm20"
"TPIS_MOUSE","TPIS_MOUSE",0,0,0,6,2,12,"TPIS_MOUSE","P17751","Tpi1"
"TPM4_MOUSE","TPM4_MOUSE",0,0,0,2,1,5,"TPM4_MOUSE","Q6IRU2","Tpm4"
"TPP2_MOUSE","TPP2_MOUSE",0,0,0,5,3,17,"TPP2_MOUSE","Q64514","Tpp2"
"TRY2_MOUSE","TRY2_MOUSE",2,3,0,0,0,0,"TRY2_MOUSE","P07146","Prss2"
"TXND5_MOUSE","TXND5_MOUSE",0,0,0,9,0,12,"TXND5_MOUSE","Q91W90","Txndc5"
"TXNL1_MOUSE","TXNL1_MOUSE",0,0,0,7,0,10,"TXNL1_MOUSE","Q8CDN6","Txnl1"
"TYB10_MOUSE","TYB10_MOUSE",2,1,0,1,2,1,"TYB10_MOUSE","Q6ZWY8","Tmsb10"
"UB2L3_MOUSE","UB2L3_MOUSE",0,0,0,3,0,3,"UB2L3_MOUSE","P68037","Ube2l3"
"UBA1_MOUSE","UBA1_MOUSE",0,0,0,13,15,20,"UBA1_MOUSE","Q02053","Uba1"
"UBA5_MOUSE","UBA5_MOUSE",0,0,0,3,4,4,"UBA5_MOUSE","Q8VE47","Uba5"
"UBA6_MOUSE","UBA6_MOUSE",0,0,0,4,0,10,"UBA6_MOUSE","Q8C7R4","Uba6"
"UBE2K_MOUSE","UBE2K_MOUSE",0,0,0,3,0,4,"UBE2K_MOUSE","P61087","Ube2k"
"UBE2N_MOUSE","UBE2N_MOUSE",0,0,0,2,0,4,"UBE2N_MOUSE","P61089","Ube2n"
"UBE2O_MOUSE","UBE2O_MOUSE",0,0,0,11,10,23,"UBE2O_MOUSE","Q6ZPJ3","Ube2o"
"UBFD1_MOUSE","UBFD1_MOUSE",0,0,0,2,0,1,"UBFD1_MOUSE","Q78JW9","Ubfd1"
"UBP14_MOUSE","UBP14_MOUSE",0,0,0,1,0,5,"UBP14_MOUSE","Q9JMA1","Usp14"
"UBP5_MOUSE","UBP5_MOUSE",0,0,0,2,7,8,"UBP5_MOUSE","P56399","Usp5"
"UBQL1_MOUSE","UBQL1_MOUSE",0,0,0,1,0,1,"UBQL1_MOUSE","Q8R317","Ubqln1"
"UBR4_MOUSE","UBR4_MOUSE",0,0,0,5,2,5,"UBR4_MOUSE","A2AN08","Ubr4"
"UBXN1_MOUSE","UBXN1_MOUSE",0,0,0,3,1,0,"UBXN1_MOUSE","Q922Y1","Ubxn1"
"UCHL3_MOUSE","UCHL3_MOUSE",0,0,0,1,0,1,"UCHL3_MOUSE","Q9JKB1","Uchl3"
"UCHL4_MOUSE","UCHL4_MOUSE",0,0,0,1,0,1,"UCHL4_MOUSE","P58321","Uchl4"
"UFM1_MOUSE","UFM1_MOUSE",0,0,0,1,0,3,"UFM1_MOUSE","P61961","Ufm1"
"UGDH_MOUSE","UGDH_MOUSE",0,0,0,1,0,5,"UGDH_MOUSE","O70475","Ugdh"
"UGGG1_MOUSE","UGGG1_MOUSE",0,0,0,38,27,31,"UGGG1_MOUSE","Q6P5E4","Uggt1"
"UGPA_MOUSE","UGPA_MOUSE",0,0,0,12,8,10,"UGPA_MOUSE","Q91ZJ5","Ugp2"
"UPP1_MOUSE","UPP1_MOUSE",0,0,0,3,0,7,"UPP1_MOUSE","P52624","Upp1"
"USO1_MOUSE","USO1_MOUSE",0,0,0,16,9,12,"USO1_MOUSE","Q9Z1Z0","Uso1"
"USP9X_MOUSE","USP9X_MOUSE",0,0,0,10,4,27,"USP9X_MOUSE","P70398","Usp9x"
"VAPA_MOUSE","VAPA_MOUSE",0,0,0,4,0,6,"VAPA_MOUSE","Q9WV55","Vapa"
"VAT1_MOUSE","VAT1_MOUSE",0,0,0,2,0,2,"VAT1_MOUSE","Q62465","Vat1"
"VATA_MOUSE","VATA_MOUSE",0,0,0,2,0,5,"VATA_MOUSE","P50516","Atp6v1a"
"VATB2_MOUSE","VATB2_MOUSE",0,0,0,1,0,1,"VATB2_MOUSE","P62814","Atp6v1b2"
"VDAC1_MOUSE","VDAC1_MOUSE",2,0,0,2,0,9,"VDAC1_MOUSE","Q60932","Vdac1"
"VDAC2_MOUSE","VDAC2_MOUSE",0,0,0,2,0,3,"VDAC2_MOUSE","Q60930","Vdac2"
"VGFR1_MOUSE","VGFR1_MOUSE",0,0,0,1,2,2,"VGFR1_MOUSE","P35969","Flt1"
"VIGLN_MOUSE","VIGLN_MOUSE",0,0,0,7,9,8,"VIGLN_MOUSE","Q8VDJ3","Hdlbp"
"VINC_MOUSE","VINC_MOUSE",0,0,0,11,8,19,"VINC_MOUSE","Q64727","Vcl"
"VPS35_MOUSE","VPS35_MOUSE",0,0,0,0,1,2,"VPS35_MOUSE","Q9EQH3","Vps35"
"VTA1_MOUSE","VTA1_MOUSE",0,0,0,2,0,1,"VTA1_MOUSE","Q9CR26","Vta1"
"WDR1_MOUSE","WDR1_MOUSE",0,0,0,10,4,19,"WDR1_MOUSE","O88342","Wdr1"
"WNK1_MOUSE","WNK1_MOUSE",0,0,0,1,1,1,"WNK1_MOUSE","P83741","Wnk1"
"WNK3_MOUSE","WNK3_MOUSE",0,0,0,0,1,1,"WNK3_MOUSE","Q80XP9","Wnk3"
"XDH_MOUSE","XDH_MOUSE",0,0,0,1,1,3,"XDH_MOUSE","Q00519","Xdh"
"XPO1_MOUSE","XPO1_MOUSE",0,0,0,1,2,11,"XPO1_MOUSE","Q6P5F9","Xpo1"
"XPO2_MOUSE","XPO2_MOUSE",0,0,0,10,6,14,"XPO2_MOUSE","Q9ERK4","Cse1l"
"XPP1_MOUSE","XPP1_MOUSE",0,0,0,1,0,5,"XPP1_MOUSE","Q6P1B1","Xpnpep1"
"ZWINT_MOUSE","ZWINT_MOUSE",0,0,0,2,0,2,"ZWINT_MOUSE","Q9CQU5","Zwint"
