"","EVT-24w","CTB-8w","EVT-8w","STB-8w","STR-8w"
"ARNT",0.0681564349376337,-0.195848656718429,0.447078375852987,0.253795546977851,-0.314537579544025
"ARNT2",1.2495226654504,-0.520296310563134,0.227103713312762,1.11969474256199,-0.507085205082435
"ATF1",0.445216044558912,-0.402375585975307,0.410758674204373,0.638905641376714,-0.369222665443742
"BARX2",0.60558726015047,0.0470469012872765,-0.132838685392918,-0.161745910350728,-0.111834216147736
"CREB1",0.167955163575807,-0.193398238121242,0.261490352700656,0.157229469200883,-0.195559579916666
"E2F1",-0.304681229051652,0.0232590376528718,-0.06775528119916,-0.273843073165257,0.178334367272516
"E2F3",-0.220508341165673,-0.112718985653519,0.179692767530225,-0.563200483370562,0.0451827321482057
"EGR1",0.749255200996663,-0.42927298226743,-0.146488218794326,-0.062676781068179,0.0446736412941494
"ELF3",0.741950837811293,0.271440103484284,0.186304711497645,0.910014307198345,-0.618806809785502
"ELK3",0.262775901525568,-0.219979669632031,-0.103652065986409,-0.480002001217341,0.134791100712129
"ERG",-0.10079444780807,0.0186740064053599,-0.0687020885908376,-0.10079444780807,0.0520203603752984
"ETS1",-0.173044912353506,-0.09990714343777,-0.193230434089317,-0.252159596272813,0.281288237038264
"ETV4",0.607153641721353,-0.481409173122462,0.40326841065266,1.06180540082196,-0.430333920697406
"ETV5",0.257808594441767,0.67384788630569,-0.428355778476045,0.901910746123329,-0.143238733366199
"FLI1",-0.405230861790078,0.0237549278880975,-0.361639235274504,-0.417723244374993,0.457831121419268
"FOS",1.01193664601729,-0.261463702237729,0.330550858830331,0.175204142804239,-0.517445839248997
"FOXM1",-0.40047624832385,0.0379769846642735,0.0937712401385674,-0.405725669774282,0.0933318914320613
"FOXO1",0.903764134227917,-0.395553012595912,0.0360491291492528,-0.244928680098717,-0.147340417393861
"FOXO3",0.465321380269743,-0.0519439114374989,-0.000193009713102734,0.830322689496017,-0.22770989722801
"FOXO4",-0.192444891165974,0.936429618945802,-0.396853901038765,0.0820896548685264,-0.0377111387817035
"GATA2",0.548211328286498,-0.216262485839357,0.635053522571099,0.849507908750684,-0.683235073787296
"HMGA1",-1.03525596268534,0.672788852690204,-0.121070940981046,-1.48292756950929,0.321375986676406
"HNF1B",-0.0905263640940025,-0.158238044928716,0.0458234680715009,0.25284094497145,0.0259502951020374
"HSF1",-0.132728629393562,-0.190804411214494,0.170749440715981,-0.50696825601049,0.0493662052521903
"HSF2",0.217634664999148,0.11344817356249,-0.00996220889201961,-0.136923881984608,-0.103252756529212
"IRF2",0.225271261572101,0.0263468934308818,-0.111760076189357,0.0546849212736934,-0.00887323717939567
"IRF4",-0.094290902074312,-0.094290902074312,-0.094290902074312,-0.094290902074312,0.119983185081217
"IRF5",-0.37200475923854,-0.155976674519606,-0.344012789715165,-0.189257983448187,0.486348105917859
"JUND",0.482802317297983,-0.128455004250258,0.0851479286353499,0.53446958768249,-0.236103351400152
"KLF1",-0.348769441885304,-0.327746918297019,-0.325297713242546,-0.348769441885304,0.554901379456431
"KLF15",-0.0764739956800709,-0.0764739956800709,-0.0764739956800709,0.169507549082298,0.0516424919850257
"KLF3",-0.0084366818076528,-0.238921606257855,-0.251635279081789,0.974884926946464,0.200345531264567
"KLF4",0.728758172993216,-0.143894041732532,-0.349493191275047,0.867989580264067,-0.0114718236309688
"KLF6",0.862149558540202,-0.876577704347925,0.375433828167917,0.23912863627349,-0.23992522772263
"MAX",0.521234283489245,-0.293641351532211,-0.00601275900342109,0.591031524364357,-0.11272645324662
"MBD2",0.73275585992805,-0.531671485624009,0.353076007349677,0.575695713171861,-0.362187714022332
"MECP2",0.254163917732774,-0.194129582936129,0.00243332246713802,0.533879674310845,-0.0629183585691268
"MEF2C",-0.213361154266649,0.0313716615596941,-0.464995297645438,-0.58525864651437,0.485614982116277
"MITF",0.450416718809657,-0.168442543727372,-0.489103967293703,-0.274002485646025,0.325833378084102
"MYC",0.186177207758381,-0.328151458518493,-0.145165788873824,-0.942967950917175,0.289672282862965
"MYCN",0.413126162850962,-0.56437202145052,0.818346927786139,0.249385677116609,-0.564794890243856
"MYOD1",-0.10761903449156,-0.0872834654857996,-0.0317557252902633,-0.10761903449156,0.0871662205374781
"NFYA",0.0748992972183473,-0.101939064515285,0.0803162261431581,0.477172331308411,-0.0949257720534197
"NFYC",0.169925970583504,0.19871702539677,-0.0676723153253999,0.159020485891327,-0.109642784000398
"NRF1",0.0299549514259174,-0.194668740486938,0.0482554203996278,0.830877637071559,-0.0511727955913144
"PBX1",-0.247400072535865,0.86368326120159,-0.402385871307453,-0.193378609505493,0.0464061680322419
"PBX2",0.106557091218223,0.11437468258515,-0.159750691767878,0.259281058171679,0.0104417937264287
"RFX1",-0.0523743596631107,-0.234254244612555,0.282841619584653,0.386249309152038,-0.141432559845444
"RUNX2",-0.140980984024512,-0.167931810964522,-0.10112700095926,-0.209838021296621,0.223230940807508
"SMAD1",0.324569376170021,-0.158227544814847,-0.0901342576730641,-0.0472630636378465,0.0302604030859291
"SMAD2",0.345264301999817,-0.0166811336955982,0.111954408148288,0.680489369644376,-0.272700541335492
"SMAD3",1.43936865425793,-0.499068828314471,0.0838172615908583,-0.538207092566009,-0.296453922722073
"SMAD4",0.572212505442747,-0.336060690485302,0.116550911404543,0.37554628299739,-0.185148974305379
"SNAI2",-0.297004629169398,-0.177290168737161,-0.309224283537667,-0.36223891708481,0.460382110471853
"SOX4",0.627225686607584,-0.663123618221595,0.860524538199929,-0.435320802314211,-0.557794841473767
"SP1",0.36052296887352,-0.12568562925964,-0.0768275941763857,1.09912644587226,-0.127505509917027
"SP2",0.381133270268379,-0.149517524931969,-0.0947301130694106,0.438282499504635,-0.0408538458339023
"SP3",0.411121525344995,-0.0784616189024187,0.137990858423377,0.520869989568324,-0.272487578930888
"SPI1",-0.454128924662501,-0.0247589422762922,-0.431475824817364,-0.457597024669952,0.554699640229074
"TBP",0.225460753104277,-0.185455980565662,0.192019773770083,0.667631733292278,-0.218658964148859
"TEAD3",0.552787394781427,0.0233743839091299,0.42220644720302,0.298222747870935,-0.564646345954464
"TFE3",0.0675458791556176,0.0631827184686778,-0.40340034414949,0.28791376792831,0.233441243291086
"TFEB",-0.403019621430888,0.379441282718109,-0.347121347876206,-0.0919952269201366,0.257158299663647
"USF1",0.0608661843571187,-0.122828657841539,0.168973958871876,-0.0947155534771976,-0.0899390645554002
"USF2",0.159777179675422,-0.326664444418954,-0.131491400020198,0.0645884212685102,0.181544428518852
"WT1",-0.150394919802304,-0.189316804494044,-0.101845766217122,-0.170066209733541,0.232178684997874
"XBP1",0.507219322690339,-0.281320599979947,0.361812998716922,0.861846555881228,-0.42871941120402
"ZFHX3",0.451772810479787,0.29647955675683,-0.250721471010175,-0.294669594465895,-0.0601627903340883
