"Accession.Number","S3","S4","S5","P3","P4","P5","ProteinID","Accession.New","MouseGeneName"
"PSME2_MOUSE",0,0,0,1,1,5,"P97372","PSME2_MOUSE","Psme2"
"PTMA_MOUSE",1,1,0,1,0,1,"P26350","PTMA_MOUSE","Ptma"
"PUR9_MOUSE",0,0,0,5,3,13,"Q9CWJ9","PUR9_MOUSE","Atic"
"PYR1_MOUSE",0,0,0,2,4,1,"B2RQC6","PYR1_MOUSE","Cad"
"QCR9_MOUSE",1,1,0,0,0,0,"Q8R1I1","QCR9_MOUSE","Uqcr10"
"RAB18_MOUSE",0,0,0,1,1,0,"P35293","RAB18_MOUSE","Rab18"
"RAB1A_MOUSE",0,0,0,6,4,8,"P62821","RAB1A_MOUSE","Rab1A"
"RAB1B_MOUSE",0,0,0,4,0,5,"Q9D1G1","RAB1B_MOUSE","Rab1b"
"RAB2A_MOUSE",0,0,0,1,2,3,"P53994","RAB2A_MOUSE","Rab2a"
"RAB7A_MOUSE",0,0,0,1,0,2,"P51150","RAB7A_MOUSE","Rab7a"
"RAC1_MOUSE",0,0,0,2,1,5,"P63001","RAC1_MOUSE","Rac1"
"RAC3_MOUSE",0,0,0,2,1,0,"P60764","RAC3_MOUSE","Rac3"
"RACK1_MOUSE",0,0,0,5,0,14,"P68040","RACK1_MOUSE","Rack1"
"RADI_MOUSE",0,0,0,7,6,5,"P26043","RADI_MOUSE","Rdx"
"RALB_MOUSE",0,0,0,3,0,3,"Q9JIW9","RALB_MOUSE","Ralb"
"RAN_MOUSE",1,0,0,6,0,6,"P62827","RAN_MOUSE","Ran"
"RANG_MOUSE",0,0,0,3,0,5,"P34022","RANG_MOUSE","Ranbp1"
"RAP1B_MOUSE",0,0,0,3,0,4,"Q99JI6","RAP1B_MOUSE","Rap1b"
"RBX1_MOUSE",1,0,0,1,0,1,"P62878","RBX1_MOUSE","Rbx1"
"RCN2_MOUSE",0,0,0,1,0,3,"Q8BP92","RCN2_MOUSE","Rcn2"
"RD23B_MOUSE",0,0,0,3,0,4,"P54728","RD23B_MOUSE","Rad23b"
"RER1_MOUSE",0,0,0,1,0,1,"Q9CQU3","RER1_MOUSE","Rer1"
"RHG01_MOUSE",0,0,0,5,0,2,"Q5FWK3","RHG01_MOUSE","Arhgap1"
"RHOA_MOUSE",0,0,0,6,5,8,"Q9QUI0","RHOA_MOUSE","Rhoa"
"RHOC_MOUSE",0,0,0,6,0,8,"Q62159","RHOC_MOUSE","Rhoc"
"RINI_MOUSE",0,0,0,13,6,18,"Q91VI7","RINI_MOUSE","Rnh1"
"RL10_MOUSE",0,0,0,1,0,4,"Q6ZWV3","RL10_MOUSE","Rpl10"
"RL10A_MOUSE",0,0,0,1,0,5,"P53026","RL10A_MOUSE","Rpl10a"
"RL11_MOUSE",2,0,0,2,1,3,"Q9CXW4","RL11_MOUSE","Rpl11"
"RL12_MOUSE",0,0,0,2,0,5,"P35979","RL12_MOUSE","Rpl12"
"RL13_MOUSE",0,4,0,2,0,3,"P47963","RL13_MOUSE","Rpl13"
"RL13A_MOUSE",0,0,0,2,0,4,"P19253","RL13A_MOUSE","Rpl13a"
"RL14_MOUSE",0,2,0,2,0,3,"Q9CR57","RL14_MOUSE","Rpl14"
"RL15_MOUSE",0,0,0,2,1,4,"Q9CZM2","RL15_MOUSE","Rpl15"
"RL17_MOUSE",0,1,0,1,0,4,"Q9CPR4","RL17_MOUSE","Rpl17"
"RL18_MOUSE",0,0,0,2,0,2,"P35980","RL18_MOUSE","Rpl18"
"RL18A_MOUSE",0,2,0,4,0,4,"P62717","RL18A_MOUSE","Rpl18a"
"RL19_MOUSE",0,0,0,1,1,1,"P84099","RL19_MOUSE","Rpl19"
"RL22L_MOUSE",0,0,0,1,0,2,"Q9D7S7","RL22L_MOUSE","Rpl22l1"
"RL23_MOUSE",1,3,0,2,0,3,"P62830","RL23_MOUSE","Rpl23"
"RL23A_MOUSE",0,2,0,1,0,3,"P62751","RL23A_MOUSE","Rpl23a"
"RL24_MOUSE",0,2,0,2,0,3,"Q8BP67","RL24_MOUSE","Rpl24"
"RL26_MOUSE",0,1,0,1,0,1,"P61255","RL26_MOUSE","Rpl26"
"RL27_MOUSE",0,3,0,3,0,3,"P61358","RL27_MOUSE","Rpl27"
"RL27A_MOUSE",0,3,0,1,0,3,"P14115","RL27A_MOUSE","Rpl27a"
"RL28_MOUSE",0,0,0,1,0,1,"P41105","RL28_MOUSE","Rpl28"
"RL3_MOUSE",0,0,0,1,1,5,"P27659","RL3_MOUSE","Rpl3"
"RL30_MOUSE",0,2,0,3,0,2,"P62889","RL30_MOUSE","Rpl30"
"RL31_MOUSE",0,1,0,1,0,1,"P62900","RL31_MOUSE","Rpl31"
"RL35A_MOUSE",0,1,0,0,0,1,"O55142","RL35A_MOUSE","Rpl35a"
"RL36_MOUSE",0,1,0,0,0,2,"P47964","RL36_MOUSE","Rpl36"
"RL37A_MOUSE",0,1,0,1,0,1,"P61514","RL37A_MOUSE","Rpl37a"
"RL38_MOUSE",0,2,0,1,0,3,"Q9JJI8","RL38_MOUSE","Rpl38"
"RL4_MOUSE",0,0,0,5,4,11,"Q9D8E6","RL4_MOUSE","Rpl4"
"RL5_MOUSE",0,0,0,3,2,5,"P47962","RL5_MOUSE","Rpl5"
"RL6_MOUSE",0,0,0,4,3,5,"P47911","RL6_MOUSE","Rpl6"
"RL7_MOUSE",0,0,0,2,0,6,"P14148","RL7_MOUSE","Rpl7"
"RL7A_MOUSE",0,1,0,4,1,7,"P12970","RL7A_MOUSE","Rpl7a"
"RL8_MOUSE",0,0,0,1,0,4,"P62918","RL8_MOUSE","Rpl8"
"RL9_MOUSE",0,0,0,4,1,4,"P51410","RL9_MOUSE","Rpl9"
"RLA0_MOUSE",0,0,0,4,2,5,"P14869","RLA0_MOUSE","Rplp0"
"RLA1_MOUSE",0,0,2,5,0,4,"P47955","RLA1_MOUSE","Rplp1"
"RLA2_MOUSE",0,1,0,3,0,4,"P99027","RLA2_MOUSE","Rplp2"
"ROA3_MOUSE",0,0,0,1,0,1,"Q8BG05","ROA3_MOUSE","Hnrnpa3"
"RPN1_MOUSE",0,0,0,12,7,18,"Q91YQ5","RPN1_MOUSE","Rpn1"
"RPN2_MOUSE",0,0,0,8,5,13,"Q9DBG6","RPN2_MOUSE","Rpn2"
"RRBP1_MOUSE",1,0,0,6,4,7,"Q99PL5","RRBP1_MOUSE","Rrbp1"
"RS10_MOUSE",0,3,0,3,0,5,"P63325","RS10_MOUSE","Rps10"
"RS11_MOUSE",0,1,0,2,0,2,"P62281","RS11_MOUSE","Rps11"
"RS12_MOUSE",0,0,0,2,1,4,"P63323","RS12_MOUSE","Rps12"
"RS13_MOUSE",0,0,0,4,0,4,"P62301","RS13_MOUSE","Rps13"
"RS14_MOUSE",0,2,0,3,0,3,"P62264","RS14_MOUSE","Rps14"
"RS15A_MOUSE",0,0,0,3,1,6,"P62245","RS15A_MOUSE","Rps15a"
"RS16_MOUSE",0,2,0,3,0,3,"P14131","RS16_MOUSE","Rps16"
"RS17_MOUSE",0,0,0,3,0,4,"P63276","RS17_MOUSE","Rps17"
"RS18_MOUSE",0,0,0,1,0,3,"P62270","RS18_MOUSE","Rps18"
"RS19_MOUSE",0,2,0,1,0,2,"Q9CZX8","RS19_MOUSE","Rps19"
"RS2_MOUSE",0,0,0,4,0,8,"P25444","RS2_MOUSE","Rps2"
"RS20_MOUSE",0,2,0,3,0,3,"P60867","RS20_MOUSE","Rps20"
"RS23_MOUSE",0,1,0,2,0,3,"P62267","RS23_MOUSE","Rps23"
"RS24_MOUSE",0,2,0,1,0,4,"P62849","RS24_MOUSE","Rps24"
"RS25_MOUSE",0,2,0,1,0,3,"P62852","RS25_MOUSE","Rps25"
"RS26_MOUSE",0,0,0,1,0,1,"P62855","RS26_MOUSE","Rps26"
"RS27A_MOUSE",1,2,0,0,0,3,"P62983","RS27A_MOUSE","Rps27a"
"RS27L_MOUSE",0,2,0,2,1,2,"Q6ZWY3","RS27L_MOUSE","Rps27l"
"RS28_MOUSE",0,1,0,0,0,1,"P62858","RS28_MOUSE","Rps28"
"RS3_MOUSE",0,0,0,7,4,10,"P62908","RS3_MOUSE","Rps3"
"RS30_MOUSE",0,1,0,1,0,1,"P62862","RS30_MOUSE","Fau"
"RS3A_MOUSE",0,0,0,3,0,8,"P97351","RS3A_MOUSE","Rps3a"
"RS4X_MOUSE",0,0,0,7,0,7,"P62702","RS4X_MOUSE","Rps4x"
"RS5_MOUSE",0,0,0,2,2,4,"P97461","RS5_MOUSE","Rps5"
"RS6_MOUSE",0,0,0,3,1,3,"P62754","RS6_MOUSE","Rps6"
"RS7_MOUSE",0,0,0,3,0,5,"P62082","RS7_MOUSE","Rps7"
"RS8_MOUSE",0,0,0,6,4,5,"P62242","RS8_MOUSE","Rps8"
"RS9_MOUSE",0,0,0,2,0,4,"Q6ZWN5","RS9_MOUSE","Rps9"
"RSSA_MOUSE",0,0,0,8,1,13,"P14206","RSSA_MOUSE","Rpsa"
"S10A6_MOUSE",4,1,0,6,4,3,"P14069","S10A6_MOUSE","S100a6"
"S10AA_MOUSE",2,1,0,0,0,0,"P08207","S10AA_MOUSE","S100a10"
"S10AB_MOUSE",2,0,0,4,0,3,"P50543","S10AB_MOUSE","S100a11"
"S61A1_MOUSE",0,0,0,2,0,2,"P61620","S61A1_MOUSE","Sec61a1"
"SC11A_MOUSE",0,0,0,1,0,1,"Q9R0P6","SC11A_MOUSE","Sec11a"
"SC22B_MOUSE",0,0,0,2,0,6,"O08547","SC22B_MOUSE","Sec22b"
"SC23B_MOUSE",0,0,0,3,0,3,"Q9D662","SC23B_MOUSE","Sec23b"
"SC31A_MOUSE",0,0,0,8,3,5,"Q3UPL0","SC31A_MOUSE","Sec31a"
"SC61G_MOUSE",0,0,0,1,0,1,"P60060","SC61G_MOUSE","Sec61g"
"SDF2L_MOUSE",0,1,0,5,0,6,"Q9ESP1","SDF2L_MOUSE","Sdf2l1"
"SEC13_MOUSE",0,0,0,2,0,2,"Q9D1M0","SEC13_MOUSE","Sec13"
"SEP11_MOUSE",0,0,0,3,0,3,"Q8C1B7","SEP11_MOUSE","Septin11"
"SEPT2_MOUSE",0,0,0,5,2,6,"P42208","SEPT2_MOUSE","Septin2"
"SEPT6_MOUSE",0,0,0,0,2,1,"Q9R1T4","SEPT6_MOUSE","Septin6"
"SEPT7_MOUSE",0,0,0,4,0,2,"O55131","SEPT7_MOUSE","Septin7"
"SEPT9_MOUSE",0,0,0,2,1,5,"Q80UG5","SEPT9_MOUSE","Septin9"
"SERPH_MOUSE",0,1,0,23,14,22,"P19324","SERPH_MOUSE","Serpinh1"
"SGT1_MOUSE",0,0,0,1,0,1,"Q9CX34","SGT1_MOUSE","Sugt1"
"SGTA_MOUSE",0,0,0,1,0,2,"Q8BJU0","SGTA_MOUSE","Sgta"
"SIAS_MOUSE",0,0,0,3,0,6,"Q99J77","SIAS_MOUSE","Nans"
"SNAA_MOUSE",0,0,0,1,0,10,"Q9DB05","SNAA_MOUSE","Napa"
"SND1_MOUSE",0,0,0,6,4,17,"Q78PY7","SND1_MOUSE","Snd1"
"SODC_MOUSE",0,4,0,1,0,4,"P08228","SODC_MOUSE","Sod1"
"SORCN_MOUSE",0,0,0,5,3,5,"Q6P069","SORCN_MOUSE","Sri"
"SPB6_MOUSE",0,0,0,2,0,2,"Q60854","SPB6_MOUSE","Serpinb6"
"SPCS1_MOUSE",0,0,0,1,0,2,"Q9D958","SPCS1_MOUSE","Spcs1"
"SPEE_MOUSE",0,0,0,1,0,4,"Q64674","SPEE_MOUSE","Srm"
"SRC8_MOUSE",0,0,0,0,2,2,"Q60598","SRC8_MOUSE","Cttn"
"SRP68_MOUSE",0,0,0,2,1,0,"Q8BMA6","SRP68_MOUSE","Srp68"
"SRPRB_MOUSE",0,0,0,2,2,4,"P47758","SRPRB_MOUSE","Srprb"
"SSRA_MOUSE",0,0,0,2,0,3,"Q9CY50","SSRA_MOUSE","Ssr1"
"SSRD_MOUSE",0,0,0,2,1,3,"Q62186","SSRD_MOUSE","Ssr4"
"SSRG_MOUSE",0,0,0,1,0,1,"Q9DCF9","SSRG_MOUSE","Ssr3"
"STIP1_MOUSE",0,0,0,9,2,13,"Q60864","STIP1_MOUSE","Stip1"
"STK24_MOUSE",0,0,0,1,0,1,"Q99KH8","STK24_MOUSE","Stk24"
"STT3A_MOUSE",0,0,0,2,0,4,"P46978","STT3A_MOUSE","Stt3a"
"SURF4_MOUSE",0,0,0,3,1,3,"Q64310","SURF4_MOUSE","Surf4"
"SYAC_MOUSE",0,0,0,10,10,12,"Q8BGQ7","SYAC_MOUSE","Aars1"
"SYCC_MOUSE",0,0,0,5,4,4,"Q9ER72","SYCC_MOUSE","Cars1"
"SYDC_MOUSE",0,0,0,4,4,9,"Q922B2","SYDC_MOUSE","Dars1"
"SYEP_MOUSE",0,0,0,16,11,18,"Q8CGC7","SYEP_MOUSE","Eprs1"
"SYHC_MOUSE",0,0,0,3,0,1,"Q61035","HARS1_MOUSE","Hars1"
"SYIC_MOUSE",0,0,0,5,2,3,"Q8BU30","SYIC_MOUSE","Iars1"
"SYK_MOUSE",0,0,0,5,4,7,"Q99MN1","SYK_MOUSE","Kars1"
"SYLC_MOUSE",0,0,0,6,10,12,"Q8BMJ2","SYLC_MOUSE","Lars1"
"SYMC_MOUSE",0,0,0,1,2,3,"Q68FL6","SYMC_MOUSE","Mars1"
"SYNC_MOUSE",0,0,0,5,4,13,"Q8BP47","SYNC_MOUSE","NARS1"
"SYNE2_MOUSE",1,0,0,0,0,2,"Q6ZWQ0","SYNE2_MOUSE","Syne2"
"SYQ_MOUSE",0,0,0,5,2,8,"Q8BML9","SYQ_MOUSE","Qars1"
"SYRC_MOUSE",0,0,0,5,7,7,"Q9D0I9","SYRC_MOUSE","Rars1"
"SYSC_MOUSE",0,0,0,6,4,14,"P26638","SYSC_MOUSE","Sars1"
"SYWC_MOUSE",0,0,0,3,0,7,"P32921","SYWC_MOUSE","Wars1"
"T22D1_MOUSE",0,1,0,1,0,0,"P62500","T22D1_MOUSE","Tsc22d1"
"TAGL2_MOUSE",0,0,0,9,3,10,"Q9WVA4","TAGL2_MOUSE","Tagln2"
"TBA1A_MOUSE",1,0,1,16,16,19,"P68369","TBA1A_MOUSE","Tuba1a"
"TBA1B_MOUSE",1,0,1,16,17,19,"P05213","TBA1B_MOUSE","Tuba1b"
"TBA1C_MOUSE",1,0,1,15,15,19,"P68373","TBA1C_MOUSE","Tuba1c"
"TBB4B_MOUSE",0,0,2,21,0,25,"P68372","TBB4B_MOUSE","Tubb4b"
"TBB5_MOUSE",0,0,2,23,20,25,"P99024","TBB5_MOUSE","Tubb5"
"TBC15_MOUSE",0,0,0,2,2,1,"Q9CXF4","TBC15_MOUSE","Tbc1d15"
"TCPA_MOUSE",0,0,0,15,15,18,"P11983","TCPA_MOUSE","Tcp1"
"TCPB_MOUSE",0,0,0,18,10,25,"P80314","TCPB_MOUSE","Cct2"
"TCPD_MOUSE",0,0,0,13,10,19,"P80315","TCPD_MOUSE","Cct4"
"TCPE_MOUSE",0,0,0,11,12,18,"P80316","TCPE_MOUSE","Cct5"
"TCPG_MOUSE",0,0,0,17,12,21,"P80318","TCPG_MOUSE","Cct3"
"TCPH_MOUSE",0,0,0,12,9,18,"P80313","TCPH_MOUSE","Cct7"
"TCPQ_MOUSE",0,0,0,15,13,26,"P42932","TCPQ_MOUSE","Cct8"
"TCPZ_MOUSE",0,0,0,11,8,16,"P80317","TCPZ_MOUSE","Cct6a"
"TCTP_MOUSE",0,0,0,4,0,4,"P63028","TCTP_MOUSE","Tpt1"
"TEBP_MOUSE",1,1,0,4,0,4,"Q9R0Q7","TEBP_MOUSE","Ptges3"
"TERA_MOUSE",0,0,0,32,40,42,"Q01853","TERA_MOUSE","Vcp"
"TGM2_MOUSE",0,0,0,18,14,20,"P21981","TGM2_MOUSE","Tgm2"
"THIKA_MOUSE",1,0,0,1,0,1,"Q921H8","THIKA_MOUSE","Acaa1a"
"THIKB_MOUSE",1,0,0,0,0,1,"Q8VCH0","THIKB_MOUSE","Acaa1b"
"THIO_MOUSE",3,5,0,5,4,4,"P10639","THIO_MOUSE","Txn"
"TKFC_MOUSE",0,0,0,2,0,1,"Q8VC30","TKFC_MOUSE","Tkfc"
"TKT_MOUSE",0,0,0,4,3,6,"P40142","TKT_MOUSE","Tkt"
"TLN1_MOUSE",0,0,0,48,59,68,"P26039","TLN1_MOUSE","Tln1"
"TMED2_MOUSE",0,0,0,3,0,4,"Q9R0Q3","TMED2_MOUSE","Tmed2"
"TMED9_MOUSE",1,0,0,4,0,6,"Q99KF1","TMED9_MOUSE","Tmed9"
"TMEDA_MOUSE",0,0,0,4,0,4,"Q9D1D4","TMEDA_MOUSE","Tmed10"
"TNPO1_MOUSE",0,0,0,0,1,3,"Q8BFY9","TNPO1_MOUSE","Tnpo1"
"TNR9_MOUSE",0,2,0,2,0,2,"P20334","TNR9_MOUSE","Tnfrsf9"
"TOM20_MOUSE",1,1,0,0,0,0,"Q9DCC8","TOM20_MOUSE","Tomm20"
"TPIS_MOUSE",0,0,0,6,2,12,"P17751","TPIS_MOUSE","Tpi1"
"TPM4_MOUSE",0,0,0,2,1,5,"Q6IRU2","TPM4_MOUSE","Tpm4"
"TPP2_MOUSE",0,0,0,5,3,17,"Q64514","TPP2_MOUSE","Tpp2"
"TRY2_MOUSE",2,3,0,0,0,0,"P07146","TRY2_MOUSE","Prss2"
"TSP_MOUSE",0,2,0,1,0,2,"P13438","TSP_MOUSE","Tpbpa"
"TXND5_MOUSE",0,0,0,9,0,12,"Q91W90","TXND5_MOUSE","Txndc5"
"TXNL1_MOUSE",0,0,0,7,0,10,"Q8CDN6","TXNL1_MOUSE","Txnl1"
"TYB10_MOUSE",2,1,0,1,2,1,"Q6ZWY8","TYB10_MOUSE","Tmsb10"
"UB2L3_MOUSE",0,0,0,3,0,3,"P68037","UB2L3_MOUSE","Ube2l3"
"UBA1_MOUSE",0,0,0,13,15,20,"Q02053","UBA1_MOUSE","Uba1"
"UBA5_MOUSE",0,0,0,3,4,4,"Q8VE47","UBA5_MOUSE","Uba5"
"UBA6_MOUSE",0,0,0,4,0,10,"Q8C7R4","UBA6_MOUSE","Uba6"
"UBE2K_MOUSE",0,0,0,3,0,4,"P61087","UBE2K_MOUSE","Ube2k"
"UBE2N_MOUSE",0,0,0,2,0,4,"P61089","UBE2N_MOUSE","Ube2n"
"UBE2O_MOUSE",0,0,0,11,10,23,"Q6ZPJ3","UBE2O_MOUSE","Ube2o"
"UBFD1_MOUSE",0,0,0,2,0,1,"Q78JW9","UBFD1_MOUSE","Ubfd1"
"UBP14_MOUSE",0,0,0,1,0,5,"Q9JMA1","UBP14_MOUSE","Usp14"
"UBP5_MOUSE",0,0,0,2,7,8,"P56399","UBP5_MOUSE","Usp5"
"UBQL1_MOUSE",0,0,0,1,0,1,"Q8R317","UBQL1_MOUSE","Ubqln1"
"UBR4_MOUSE",0,0,0,5,2,5,"A2AN08","UBR4_MOUSE","Ubr4"
"UBXN1_MOUSE",0,0,0,3,1,0,"Q922Y1","UBXN1_MOUSE","Ubxn1"
"UCHL3_MOUSE",0,0,0,1,0,1,"Q9JKB1","UCHL3_MOUSE","Uchl3"
"UCHL4_MOUSE",0,0,0,1,0,1,"P58321","UCHL4_MOUSE","Uchl4"
"UFM1_MOUSE",0,0,0,1,0,3,"P61961","UFM1_MOUSE","Ufm1"
"UGDH_MOUSE",0,0,0,1,0,5,"O70475","UGDH_MOUSE","Ugdh"
"UGGG1_MOUSE",0,0,0,38,27,31,"Q6P5E4","UGGG1_MOUSE","Uggt1"
"UGPA_MOUSE",0,0,0,12,8,10,"Q91ZJ5","UGPA_MOUSE","Ugp2"
"UPP1_MOUSE",0,0,0,3,0,7,"P52624","UPP1_MOUSE","Upp1"
"USO1_MOUSE",0,0,0,16,9,12,"Q9Z1Z0","USO1_MOUSE","Uso1"
"USP9X_MOUSE",0,0,0,10,4,27,"P70398","USP9X_MOUSE","Usp9x"
"VAPA_MOUSE",0,0,0,4,0,6,"Q9WV55","VAPA_MOUSE","Vapa"
"VAT1_MOUSE",0,0,0,2,0,2,"Q62465","VAT1_MOUSE","Vat1"
"VATA_MOUSE",0,0,0,2,0,5,"P50516","VATA_MOUSE","Atp6v1a"
"VATB2_MOUSE",0,0,0,1,0,1,"P62814","VATB2_MOUSE","Atp6v1b2"
"VDAC1_MOUSE",2,0,0,2,0,9,"Q60932","VDAC1_MOUSE","Vdac1"
"VDAC2_MOUSE",0,0,0,2,0,3,"Q60930","VDAC2_MOUSE","Vdac2"
"VGFR1_MOUSE",0,0,0,1,2,2,"P35969","VGFR1_MOUSE","Flt1"
"VIGLN_MOUSE",0,0,0,7,9,8,"Q8VDJ3","VIGLN_MOUSE","Hdlbp"
"VINC_MOUSE",0,0,0,11,8,19,"Q64727","VINC_MOUSE","Vcl"
"VPS35_MOUSE",0,0,0,0,1,2,"Q9EQH3","VPS35_MOUSE","Vps35"
"VTA1_MOUSE",0,0,0,2,0,1,"Q9CR26","VTA1_MOUSE","Vta1"
"WDR1_MOUSE",0,0,0,10,4,19,"O88342","WDR1_MOUSE","Wdr1"
"WNK1_MOUSE",0,0,0,1,1,1,"P83741","WNK1_MOUSE","Wnk1"
"WNK3_MOUSE",0,0,0,0,1,1,"Q80XP9","WNK3_MOUSE","Wnk3"
"XDH_MOUSE",0,0,0,1,1,3,"Q00519","XDH_MOUSE","Xdh"
"XPO1_MOUSE",0,0,0,1,2,11,"Q6P5F9","XPO1_MOUSE","Xpo1"
"XPO2_MOUSE",0,0,0,10,6,14,"Q9ERK4","XPO2_MOUSE","Cse1l"
"XPP1_MOUSE",0,0,0,1,0,5,"Q6P1B1","XPP1_MOUSE","Xpnpep1"
"YB039_MOUSE",1,1,0,0,0,0,"Q8BT35","MTLN_MOUSE","Mtln"
"ZWINT_MOUSE",0,0,0,2,0,2,"Q9CQU5","ZWINT_MOUSE","Zwint"
