Accession.Number,ProteinID,Accession.New,MouseGeneName,,,,
LEG1_MOUSE,P16045,LEG1_MOUSE,Lgals1,,,,
ENPL_MOUSE,P08113,ENPL_MOUSE,Hsp90b1,,,,
HS90B_MOUSE,P11499,HS90B_MOUSE,Hsp90ab1,,,,
HS90A_MOUSE,P07901,HS90A_MOUSE,Hsp90aa1,,,,
HSP7C_MOUSE,P63017,HSP7C_MOUSE,Hspa8,,,,
ALDOA_MOUSE,P05064,ALDOA_MOUSE,Aldoa,,,,
TBA1C_MOUSE,P68373,TBA1C_MOUSE,Tuba1c,,,,
IF4A1_MOUSE,P60843,IF4A1_MOUSE,Eif4a1,,,,
ENOA_MOUSE,P17182,ENOA_MOUSE,Eno1,,,,
1433Z_MOUSE,P63101,1433Z_MOUSE,Ywhaz,,,,
DJB11_MOUSE,Q99KV1,DJB11_MOUSE,Dnajb11,,,,
1433E_MOUSE,P62259,1433E_MOUSE,Ywhae,,,,
PDLI1_MOUSE,O70400,PDLI1_MOUSE,Pdlim1,,,,
CALU_MOUSE,O35887,CALU_MOUSE,Calu,,,,
COF1_MOUSE,P18760,COF1_MOUSE,Cfl1,,,,
PDIA1_MOUSE,P09103,PDIA1_MOUSE,P4hb,,,,
SERPH_MOUSE,P19324,SERPH_MOUSE,Serpinh1,,,,
GDIR1_MOUSE,Q99PT1,GDIR1_MOUSE,Arhgdia,,,,
DEST_MOUSE,Q9R0P5,DEST_MOUSE,Dstn,,,,
PGK1_MOUSE,P09411,PGK1_MOUSE,Pgk1,,,,
TLN1_MOUSE,P26039,TLN1_MOUSE,Tln1,,,,
UGGG1_MOUSE,Q6P5E4,UGGG1_MOUSE,Uggt1,,,,
PDIA3_MOUSE,P27773,PDIA3_MOUSE,Pdia3,,,,
TERA_MOUSE,Q01853,TERA_MOUSE,Vcp,,,,
HYOU1_MOUSE,Q9JKR6,HYOU1_MOUSE,Hyou1,,,,
DYHC1_MOUSE,Q9JHU4,DYHC1_MOUSE,Dync1h1,,,,
MYH9_MOUSE,Q8VDD5,MYH9_MOUSE,Myh9,,,,
GANAB_MOUSE,Q8BHN3,GANAB_MOUSE,Ganab,,,,
TGM2_MOUSE,P21981,TGM2_MOUSE,Tgm2,,,,
CEAM5_MOUSE,Q3UKK2,CEAM5_MOUSE,Ceacam5,,,,
TCPB_MOUSE,P80314,TCPB_MOUSE,Cct2,,,,
ERO1A_MOUSE,Q8R180,ERO1A_MOUSE,Ero1a,,,,
TCPG_MOUSE,P80318,TCPG_MOUSE,Cct3,,,,
ATX10_MOUSE,P28658,ATX10_MOUSE,Atxn10,,,,
USO1_MOUSE,Q9Z1Z0,USO1_MOUSE,Uso1,,,,
TCPA_MOUSE,P11983,TCPA_MOUSE,Tcp1,,,,
DNJC3_MOUSE,Q91YW3,DNJC3_MOUSE,Dnajc3,,,,
CALX_MOUSE,P35564,CALX_MOUSE,Canx,,,,
ANXA2_MOUSE,P07356,ANXA2_MOUSE,Anxa2,,,,
ADA_MOUSE,P03958,ADA_MOUSE,Ada,,,,
ERP44_MOUSE,Q9D1Q6,ERP44_MOUSE,Erp44,,,,
PLSL_MOUSE,Q61233,PLSL_MOUSE,Lcp1,,,,
UBA1_MOUSE,Q02053,UBA1_MOUSE,Uba1,,,,
EF1G_MOUSE,Q9D8N0,EF1G_MOUSE,Eef1g,,,,
TCPH_MOUSE,P80313,TCPH_MOUSE,Cct7,,,,
P4HA1_MOUSE,Q60715,P4HA1_MOUSE,P4ha1,,,,
ERP29_MOUSE,P57759,ERP29_MOUSE,Erp29,,,,
VINC_MOUSE,Q64727,VINC_MOUSE,Vcl,,,,
TCPZ_MOUSE,P80317,TCPZ_MOUSE,Cct6a,,,,
PPIB_MOUSE,P24369,PPIB_MOUSE,Ppib,,,,
EZRI_MOUSE,P26040,EZRI_MOUSE,Ezr,,,,
CAH2_MOUSE,P00920,CAH2_MOUSE,Ca2,,,,
SYAC_MOUSE,Q8BGQ7,SYAC_MOUSE,Aars1,,,,
PSMD2_MOUSE,Q8VDM4,PSMD2_MOUSE,Psmd2,,,,
GDIB_MOUSE,Q61598,GDIB_MOUSE,Gdi2,,,,
ARP3_MOUSE,Q99JY9,ARP3_MOUSE,Actr3,,,,
TAGL2_MOUSE,Q9WVA4,TAGL2_MOUSE,Tagln2,,,,
PDIA5_MOUSE,Q921X9,PDIA5_MOUSE,Pdia5,,,,
HBAZ_MOUSE,P06467,HBAZ_MOUSE,Hbz,,,,
EIF3E_MOUSE,P60229,EIF3E_MOUSE,Eif3e,,,,
PSMD1_MOUSE,Q3TXS7,PSMD1_MOUSE,Psmd1,,,,
PGAM1_MOUSE,Q9DBJ1,PGAM1_MOUSE,Pgam1,,,,
NDKA_MOUSE,P15532,NDKA_MOUSE,Nme1,,,,
HEM2_MOUSE,P10518,HEM2_MOUSE,Alad,,,,
MDHC_MOUSE,P14152,MDHC_MOUSE,Mdh1,,,,
CAN1_MOUSE,O35350,CAN1_MOUSE,Capn1,,,,
DPP3_MOUSE,Q99KK7,DPP3_MOUSE,Dpp3,,,,
PGM1_MOUSE,Q9D0F9,PGM1_MOUSE,Pgm1,,,,
RS3_MOUSE,P62908,RS3_MOUSE,Rps3,,,,
LMAN2_MOUSE,Q9DBH5,LMAN2_MOUSE,Lman2,,,,
CNDP2_MOUSE,Q9D1A2,CNDP2_MOUSE,Cndp2,,,,
CLIC4_MOUSE,Q9QYB1,CLIC4_MOUSE,Clic4,,,,
RS8_MOUSE,P62242,RS8_MOUSE,Rps8,,,,
IF2G_MOUSE,Q9Z0N1,IF2G_MOUSE,Eif2s3x,,,,
PR7A2_MOUSE,O54831,PR7A2_MOUSE,Prl7a2,,,,
CDC42_MOUSE,P60766,CDC42_MOUSE,Cdc42,,,,
TPIS_MOUSE,P17751,TPIS_MOUSE,Tpi1,,,,
PSMD6_MOUSE,Q99JI4,PSMD6_MOUSE,Psmd6,,,,
EIF3B_MOUSE,Q8JZQ9,EIF3B_MOUSE,Eif3b,,,,
SYCC_MOUSE,Q9ER72,SYCC_MOUSE,Cars1,,,,
TPP2_MOUSE,Q64514,TPP2_MOUSE,Tpp2,,,,
PUR9_MOUSE,Q9CWJ9,PUR9_MOUSE,Atic,,,,
2AAA_MOUSE,Q76MZ3,2AAA_MOUSE,Ppp2r1a,,,,
PSMD3_MOUSE,P14685,PSMD3_MOUSE,Psmd3,,,,
SYDC_MOUSE,Q922B2,SYDC_MOUSE,Dars1,,,,
EIF3L_MOUSE,Q8QZY1,EIF3L_MOUSE,Eif3l,,,,
6PGD_MOUSE,Q9DCD0,6PGD_MOUSE,Pgd,,,,
GALK1_MOUSE,Q9R0N0,GALK1_MOUSE,Galk1,,,,
LIS1_MOUSE,P63005,LIS1_MOUSE,Pafah1b1,,,,
DDB1_MOUSE,Q3U1J4,DDB1_MOUSE,Ddb1,,,,
FAS_MOUSE,P19096,FAS_MOUSE,Fasn,,,,
KINH_MOUSE,Q61768,KINH_MOUSE,Kif5b,,,,
GARS_MOUSE,Q9CZD3,GARS_MOUSE,Gars1,,,,
PSME2_MOUSE,P97372,PSME2_MOUSE,Psme2,,,,
ALBU_MOUSE,P07724,ALBU_MOUSE,Alb,,,,
MTPN_MOUSE,P62774,MTPN_MOUSE,Mtpn,,,,
CYTB_MOUSE,Q62426,CYTB_MOUSE,Cstb,,,,
CH10_MOUSE,Q64433,CH10_MOUSE,Hspe1,,,,
FKBP2_MOUSE,P45878,FKBP2_MOUSE,Fkbp2,,,,
MIF_MOUSE,P34884,MIF_MOUSE,Mif,,,,
RS20_MOUSE,P60867,RS20_MOUSE,Rps20,,,,
SDF2L_MOUSE,Q9ESP1,SDF2L_MOUSE,Sdf2l1,,,,
EF1B_MOUSE,O70251,EF1B_MOUSE,Eef1b,,,,
AL9A1_MOUSE,Q9JLJ2,AL9A1_MOUSE,Aldh9a1,,,,
ARP2_MOUSE,P61161,ARP2_MOUSE,Actr2,,,,
FBLN7_MOUSE,Q501P1,FBLN7_MOUSE,Fbln7,,,,
PSB4_MOUSE,P99026,PSB4_MOUSE,Psmb4,,,,
GALE_MOUSE,Q8R059,GALE_MOUSE,Gale,,,,
PSA7_MOUSE,Q9Z2U0,PSA7_MOUSE,Psma7,,,,
PSA5_MOUSE,Q9Z2U1,PSA5_MOUSE,Psma5,,,,
RS3A_MOUSE,P97351,RS3A_MOUSE,Rps3a,,,,
PSA1_MOUSE,Q9R1P4,PSA1_MOUSE,Psma1,,,,
PABP1_MOUSE,P29341,PABP1_MOUSE,Pabpc1,,,,
SIAS_MOUSE,Q99J77,SIAS_MOUSE,Nans,,,,
PSA4_MOUSE,Q9R1P0,PSA4_MOUSE,Psma4,,,,
PR3B1_MOUSE,P09586,PR3B1_MOUSE,Prl3b1,,,,
RS7_MOUSE,P62082,RS7_MOUSE,Rps7,,,,
AIMP1_MOUSE,P31230,AIMP1_MOUSE,Aimp1,,,,
GSTP1_MOUSE,P19157,GSTP1_MOUSE,Gstp1,,,,
RAP1B_MOUSE,Q99JI6,RAP1B_MOUSE,Rap1b,,,,
OSTF1_MOUSE,Q62422,OSTF1_MOUSE,Ostf1,,,,
RD23B_MOUSE,P54728,RD23B_MOUSE,Rad23b,,,,
UB2L3_MOUSE,P68037,UB2L3_MOUSE,Ube2l3,,,,
SC23B_MOUSE,Q9D662,SC23B_MOUSE,Sec23b,,,,
VATA_MOUSE,P50516,VATA_MOUSE,Atp6v1a,,,,
OLA1_MOUSE,Q9CZ30,OLA1_MOUSE,Ola1,,,,
PSA2_MOUSE,P49722,PSA2_MOUSE,Psma2,,,,
AHSA1_MOUSE,Q8BK64,AHSA1_MOUSE,Ahsa1,,,,
RS9_MOUSE,Q6ZWN5,RS9_MOUSE,Rps9,,,,
PSB3_MOUSE,Q9R1P1,PSB3_MOUSE,Psmb3,,,,
CREG1_MOUSE,O88668,CREG1_MOUSE,Creg1,,,,
SNAA_MOUSE,Q9DB05,SNAA_MOUSE,Napa,,,,
FKBP4_MOUSE,P30416,FKBP4_MOUSE,Fkbp4,,,,
RL8_MOUSE,P62918,RL8_MOUSE,Rpl8,,,,
FA49B_MOUSE,Q921M7,FA49B_MOUSE,Fam49b,,,,
PPIC_MOUSE,P30412,PPIC_MOUSE,Ppic,,,,
DOPD_MOUSE,O35215,DOPD_MOUSE,Ddt,,,,
SGT1_MOUSE,Q9CX34,SGT1_MOUSE,Sugt1,,,,
VPS35_MOUSE,Q9EQH3,VPS35_MOUSE,Vps35,,,,
HBB2_MOUSE,P02089,HBB2_MOUSE,Hbb-b2,,,,
ATOX1_MOUSE,O08997,ATOX1_MOUSE,Atox1,,,,
BASP1_MOUSE,Q91XV3,BASP1_MOUSE,Basp1,,,,
FKB1A_MOUSE,P26883,FKB1A_MOUSE,Fkbp1a,,,,
S10AA_MOUSE,P08207,S10AA_MOUSE,S100a10,,,,
HBB1_MOUSE,P02088,HBB1_MOUSE,Hbb-b1,,,,
S10A6_MOUSE,P14069,S10A6_MOUSE,S100a6,,,,
CALR_MOUSE,P14211,CALR_MOUSE,Calr,,,,
FLNB_MOUSE,Q80X90,FLNB_MOUSE,Flnb,,,,
TBB5_MOUSE,P99024,TBB5_MOUSE,Tubb5,,,,
IQGA1_MOUSE,Q9JKF1,IQGA1_MOUSE,Iqgap1,,,,
CAND1_MOUSE,Q6ZQ38,CAND1_MOUSE,Cand1,,,,
SYEP_MOUSE,Q8CGC7,SYEP_MOUSE,Eprs1,,,,
TCPQ_MOUSE,P42932,TCPQ_MOUSE,Cct8,,,,
PFKAP_MOUSE,Q9WUA3,PFKAP_MOUSE,Pfkp,,,,
CH60_MOUSE,P63038,CH60_MOUSE,Hspd1,,,,
FERM2_MOUSE,Q8CIB5,FERM2_MOUSE,Fermt2,,,,
ITB3_MOUSE,O54890,ITB3_MOUSE,Itgb3,,,,
MK01_MOUSE,P63085,MK01_MOUSE,Mapk1,,,,
APT_MOUSE,P08030,APT_MOUSE,Aprt,,,,
RSSA_MOUSE,P14206,RSSA_MOUSE,Rpsa,,,,
PRDX1_MOUSE,P35700,PRDX1_MOUSE,Prdx1,,,,
PPCE_MOUSE,Q9QUR6,PPCE_MOUSE,Prep,,,,
COPB2_MOUSE,O55029,COPB2_MOUSE,Copb2,,,,
K2C8_MOUSE,P11679,K2C8_MOUSE,Krt8,,,,
RLA0_MOUSE,P14869,RLA0_MOUSE,Rplp0,,,,
EIF3M_MOUSE,Q99JX4,EIF3M_MOUSE,Eif3m,,,,
PEPD_MOUSE,Q11136,PEPD_MOUSE,Pepd,,,,
LRC59_MOUSE,Q922Q8,LRC59_MOUSE,Lrrc59,,,,
PGM2_MOUSE,Q7TSV4,PGM2_MOUSE,Pgm2,,,,
RL13_MOUSE,P47963,RL13_MOUSE,Rpl13,,,,
FABP5_MOUSE,Q05816,FABP5_MOUSE,Fabp5,,,,
RS16_MOUSE,P14131,RS16_MOUSE,Rps16,,,,
RS14_MOUSE,P62264,RS14_MOUSE,Rps14,,,,
RACK1_MOUSE,P68040,RACK1_MOUSE,Rack1,,,,
PSMD7_MOUSE,P26516,PSMD7_MOUSE,Psmd7,,,,
MDHM_MOUSE,P08249,MDHM_MOUSE,Mdh2,,,,
MAOX_MOUSE,P06801,MAOX_MOUSE,Me1,,,,
PRS4_MOUSE,P62192,PRS4_MOUSE,Psmc1,,,,
RL12_MOUSE,P35979,RL12_MOUSE,Rpl12,,,,
ILEUA_MOUSE,Q9D154,ILEUA_MOUSE,Serpinb1a,,,,
NEDD4_MOUSE,P46935,NEDD4_MOUSE,Nedd4,,,,
SEC13_MOUSE,Q9D1M0,SEC13_MOUSE,Sec13,,,,
AATM_MOUSE,P05202,AATM_MOUSE,Got2,,,,
PSB5_MOUSE,O55234,PSB5_MOUSE,Psmb5,,,,
CSN3_MOUSE,O88543,CSN3_MOUSE,Cops3,,,,
PEA15_MOUSE,Q62048,PEA15_MOUSE,Pea15,,,,
PR2B1_MOUSE,Q9DAZ2,PR2B1_MOUSE,Prl2b1,,,,
K22E_MOUSE,Q3TTY5,K22E_MOUSE,Krt2,,,,
ODPAT_MOUSE,P35487,ODPAT_MOUSE,Pdha2,,,,
TBA1A_MOUSE,P68369,TBA1A_MOUSE,Tuba1a,,,,
ACBP_MOUSE,P31786,ACBP_MOUSE,Dbi,,,,
K22O_MOUSE,Q3UV17,K22O_MOUSE,Krt76,,,,
HSP74_MOUSE,Q61316,HSP74_MOUSE,Hspa4,,,,
1433B_MOUSE,Q9CQV8,1433B_MOUSE,Ywhab,,,,
IF5A1_MOUSE,P63242,IF5A1_MOUSE,Eif5a,,,,
MANF_MOUSE,Q9CXI5,MANF_MOUSE,Manf,,,,
EI3JB_MOUSE,Q66JS6,EI3JB_MOUSE,Eif3j2,,,,
GRP78_MOUSE,P20029,BIP_MOUSE,Hspa5,,,,
GFPT1_MOUSE,P47856,GFPT1_MOUSE,Gfpt1,,,,
LDHA_MOUSE,P06151,LDHA_MOUSE,Ldha,,,,
G3P_MOUSE,P16858,G3P_MOUSE,Gapdh,,,,
ANXA5_MOUSE,P48036,ANXA5_MOUSE,Anxa5,,,,
NCPR_MOUSE,P37040,NCPR_MOUSE,Por,,,,
PEG10_MOUSE,Q7TN75,PEG10_MOUSE,Peg10,,,,
UBE2O_MOUSE,Q6ZPJ3,UBE2O_MOUSE,Ube2o,,,,
USP9X_MOUSE,P70398,USP9X_MOUSE,Usp9x,,,,
ATPA_MOUSE,Q03265,ATPA_MOUSE,Atp5f1a,,,,
CLH1_MOUSE,Q68FD5,CLH1_MOUSE,Cltc,,,,
COPA_MOUSE,Q8CIE6,COPA_MOUSE,Copa,,,,
NDKB_MOUSE,Q01768,NDKB_MOUSE,Nme2,,,,
P4HA2_MOUSE,Q60716,P4HA2_MOUSE,P4ha2,,,,
NB5R3_MOUSE,Q9DCN2,NB5R3_MOUSE,Cyb5r3,,,,
SC31A_MOUSE,Q3UPL0,SC31A_MOUSE,Sec31a,,,,
PSD12_MOUSE,Q9D8W5,PSD12_MOUSE,Psmd12,,,,
VIGLN_MOUSE,Q8VDJ3,VIGLN_MOUSE,Hdlbp,,,,
GLU2B_MOUSE,O08795,GLU2B_MOUSE,Prkcsh,,,,
ANX11_MOUSE,P97384,ANX11_MOUSE,Anxa11,,,,
EIF3A_MOUSE,P23116,EIF3A_MOUSE,Eif3a,,,,
IMA4_MOUSE,O35344,IMA4_MOUSE,Kpna3,,,,
DNPEP_MOUSE,Q9Z2W0,DNPEP_MOUSE,Dnpep,,,,
NUB1_MOUSE,P54729,NUB1_MOUSE,Nub1,,,,
RAB1A_MOUSE,P62821,RAB1A_MOUSE,Rab1A,,,,
DDX3X_MOUSE,Q62167,DDX3X_MOUSE,Ddx3x,,,,
PRS6A_MOUSE,O88685,PRS6A_MOUSE,Psmc3,,,,
ARF4_MOUSE,P61750,ARF4_MOUSE,Arf4,,,,
DYN2_MOUSE,P39054,DYN2_MOUSE,Dnm2,,,,
RL4_MOUSE,Q9D8E6,RL4_MOUSE,Rpl4,,,,
SYK_MOUSE,Q99MN1,SYK_MOUSE,Kars1,,,,
SORCN_MOUSE,Q6P069,SORCN_MOUSE,Sri,,,,
SEPT2_MOUSE,P42208,SEPT2_MOUSE,Septin2,,,,
GNAI3_MOUSE,Q9DC51,GNAI3_MOUSE,Gnai3,,,,
MYL6_MOUSE,Q60605,MYL6_MOUSE,Myl6,,,,
CPNS1_MOUSE,O88456,CPNS1_MOUSE,Capns1,,,,
AT1A1_MOUSE,Q8VDN2,AT1A1_MOUSE,Atp1a1,,,,
RL6_MOUSE,P47911,RL6_MOUSE,Rpl6,,,,
GTR1_MOUSE,P17809,GTR1_MOUSE,Slc2a1,,,,
K2C1B_MOUSE,Q6IFZ6,K2C1B_MOUSE,Krt77,,,,
PYR1_MOUSE,B2RQC6,PYR1_MOUSE,Cad,,,,
CDC37_MOUSE,Q61081,CDC37_MOUSE,Cdc37,,,,
IF2B1_MOUSE,O88477,IF2B1_MOUSE,Igf2bp1,,,,
COPZ1_MOUSE,P61924,COPZ1_MOUSE,Copz1,,,,
PLAK_MOUSE,Q02257,PLAK_MOUSE,Jup,,,,
RL3_MOUSE,P27659,RL3_MOUSE,Rpl3,,,,
CATM_MOUSE,Q9JL96,CATM_MOUSE,Ctsm,,,,
RL23_MOUSE,P62830,RL23_MOUSE,Rpl23,,,,
H2B1H_MOUSE,Q64478,H2B1H_MOUSE,Hist1h2bh,,,,
RBX1_MOUSE,P62878,RBX1_MOUSE,Rbx1,,,,
RL27_MOUSE,P61358,RL27_MOUSE,Rpl27,,,,
RL18A_MOUSE,P62717,RL18A_MOUSE,Rpl18a,,,,
RS23_MOUSE,P62267,RS23_MOUSE,Rps23,,,,
RL17_MOUSE,Q9CPR4,RL17_MOUSE,Rpl17,,,,
TXNL1_MOUSE,Q8CDN6,TXNL1_MOUSE,Txnl1,,,,
FOXO4_MOUSE,Q9WVH3,FOXO4_MOUSE,Foxo4,,,,
H2AX_MOUSE,P27661,H2AX_MOUSE,H2ax,,,,
ANXA7_MOUSE,Q07076,ANXA7_MOUSE,Anxa7,,,,
PSDE_MOUSE,O35593,PSDE_MOUSE,Psmd14,,,,
UBA6_MOUSE,Q8C7R4,UBA6_MOUSE,Uba6,,,,
RS2_MOUSE,P25444,RS2_MOUSE,Rps2,,,,
ANXA6_MOUSE,P14824,ANXA6_MOUSE,Anxa6,,,,
RAB1B_MOUSE,Q9D1G1,RAB1B_MOUSE,Rab1b,,,,
GBB2_MOUSE,P62880,GBB2_MOUSE,Gnb2,,,,
SEPT7_MOUSE,O55131,SEPT7_MOUSE,Septin7,,,,
AMRP_MOUSE,P55302,AMRP_MOUSE,Lrpap1,,,,
LAMC1_MOUSE,P02468,LAMC1_MOUSE,Lamc1,,,,
UPP1_MOUSE,P52624,UPP1_MOUSE,Upp1,,,,
AK1A1_MOUSE,Q9JII6,AK1A1_MOUSE,Akr1a1,,,,
TMED2_MOUSE,Q9R0Q3,TMED2_MOUSE,Tmed2,,,,
RS17_MOUSE,P63276,RS17_MOUSE,Rps17,,,,
OTUB1_MOUSE,Q7TQI3,OTUB1_MOUSE,Otub1,,,,
ARPC3_MOUSE,Q9JM76,ARPC3_MOUSE,Arpc3,,,,
NDRG1_MOUSE,Q62433,NDRG1_MOUSE,Ndrg1,,,,
CNPY2_MOUSE,Q9QXT0,CNPY2_MOUSE,Cnpy2,,,,
DIAP1_MOUSE,O08808,DIAP1_MOUSE,Diaph1,,,,
NCEH1_MOUSE,Q8BLF1,NCEH1_MOUSE,Nceh1,,,,
ML12B_MOUSE,Q3THE2,ML12B_MOUSE,Myl12b,,,,
EIF3K_MOUSE,Q9DBZ5,EIF3K_MOUSE,Eif3k,,,,
ARPC5_MOUSE,Q9CPW4,ARPC5_MOUSE,Arpc5,,,,
DNJA1_MOUSE,P63037,DNJA1_MOUSE,Dnaja1,,,,
VDAC2_MOUSE,Q60930,VDAC2_MOUSE,Vdac2,,,,
SPB6_MOUSE,Q60854,SPB6_MOUSE,Serpinb6,,,,
RL18_MOUSE,P35980,RL18_MOUSE,Rpl18,,,,
PDXD1_MOUSE,Q99K01,PDXD1_MOUSE,Pdxdc1,,,,
AL7A1_MOUSE,Q9DBF1,AL7A1_MOUSE,Aldh7a1,,,,
HNRPK_MOUSE,P61979,HNRPK_MOUSE,Hnrnpk,,,,
SPEE_MOUSE,Q64674,SPEE_MOUSE,Srm,,,,
PP2AA_MOUSE,P63330,PP2AA_MOUSE,Ppp2ca,,,,
SPCS1_MOUSE,Q9D958,SPCS1_MOUSE,Spcs1,,,,
K2C72_MOUSE,Q6IME9,K2C72_MOUSE,Krt72,,,,
RER1_MOUSE,Q9CQU3,RER1_MOUSE,Rer1,,,,
FBXW8_MOUSE,Q8BIA4,FBXW8_MOUSE,Fbxw8,,,,
ACTBL_MOUSE,Q8BFZ3,ACTBL_MOUSE,Actbl2,,,,
TNPO1_MOUSE,Q8BFY9,TNPO1_MOUSE,Tnpo1,,,,
RS27A_MOUSE,P62983,RS27A_MOUSE,Rps27a,,,,
TRY2_MOUSE,P07146,TRY2_MOUSE,Prss2,,,,
EF1A1_MOUSE,P10126,EF1A1_MOUSE,Eef1a1,,,,
THIO_MOUSE,P10639,THIO_MOUSE,Txn,,,,
ATPB_MOUSE,P56480,ATPB_MOUSE,Atp5f1b,,,,
TYB10_MOUSE,Q6ZWY8,TYB10_MOUSE,Tmsb10,,,,
HBE_MOUSE,P02104,HBE_MOUSE,Hbb-y,,,,
PPIA_MOUSE,P17742,PPIA_MOUSE,Ppia,,,,
H4_MOUSE,P62806,H4_MOUSE,Hist1h4a,,,,
EF2_MOUSE,P58252,EF2_MOUSE,Eef2,,,,
CAP1_MOUSE,P40124,CAP1_MOUSE,Cap1,,,,
LG3BP_MOUSE,Q07797,LG3BP_MOUSE,Lgals3bp,,,,
CREL2_MOUSE,Q9CYA0,CREL2_MOUSE,Creld2,,,,
PROF1_MOUSE,P62962,PROF1_MOUSE,Pfn1,,,,
LASP1_MOUSE,Q61792,LASP1_MOUSE,Lasp1,,,,
KPYM_MOUSE,P52480,KPYM_MOUSE,Pkm,,,,
GELS_MOUSE,P13020,GELS_MOUSE,Gsn,,,,
ACTC_MOUSE,P68033,ACTC_MOUSE,Actc1,,,,
IMB1_MOUSE,P70168,IMB1_MOUSE,Kpnb1,,,,
TCPD_MOUSE,P80315,TCPD_MOUSE,Cct4,,,,
RINI_MOUSE,Q91VI7,RINI_MOUSE,Rnh1,,,,
UGPA_MOUSE,Q91ZJ5,UGPA_MOUSE,Ugp2,,,,
ITAV_MOUSE,P43406,ITAV_MOUSE,Itgav,,,,
TCPE_MOUSE,P80316,TCPE_MOUSE,Cct5,,,,
XPO2_MOUSE,Q9ERK4,XPO2_MOUSE,Cse1l,,,,
WDR1_MOUSE,O88342,WDR1_MOUSE,Wdr1,,,,
GLCNE_MOUSE,Q91WG8,GLCNE_MOUSE,Gne,,,,
COPG1_MOUSE,Q9QZE5,COPG1_MOUSE,Copg1,,,,
STIP1_MOUSE,Q60864,STIP1_MOUSE,Stip1,,,,
PDC6I_MOUSE,Q9WU78,PDC6I_MOUSE,Pdcd6ip,,,,
1433G_MOUSE,P61982,1433G_MOUSE,Ywhag,,,,
RPN2_MOUSE,Q9DBG6,RPN2_MOUSE,Rpn2,,,,
GMPPB_MOUSE,Q8BTZ7,GMPPB_MOUSE,Gmppb,,,,
FSCN1_MOUSE,Q61553,FSCN1_MOUSE,Fscn1,,,,
ACTN4_MOUSE,P57780,ACTN4_MOUSE,Actn4,,,,
RADI_MOUSE,P26043,RADI_MOUSE,Rdx,,,,
ARF1_MOUSE,P84078,ARF1_MOUSE,Arf1,,,,
ARHG6_MOUSE,Q8K4I3,ARHG6_MOUSE,Arhgef6,,,,
SND1_MOUSE,Q78PY7,SND1_MOUSE,Snd1,,,,
K1C18_MOUSE,P05784,K1C18_MOUSE,Krt18,,,,
LDHB_MOUSE,P16125,LDHB_MOUSE,Ldhb,,,,
SYRC_MOUSE,Q9D0I9,SYRC_MOUSE,Rars1,,,,
SYNC_MOUSE,Q8BP47,SYNC_MOUSE,NARS1,,,,
PCBP1_MOUSE,P60335,PCBP1_MOUSE,Pcbp1,,,,
CAPZB_MOUSE,P47757,CAPZB_MOUSE,Capzb,,,,
PSD13_MOUSE,Q9WVJ2,PSD13_MOUSE,Psmd13,,,,
UBR4_MOUSE,A2AN08,UBR4_MOUSE,Ubr4,,,,
SYIC_MOUSE,Q8BU30,SYIC_MOUSE,Iars1,,,,
